Filename	Success	Nchan	dof	chi^2	chi^2/dof	rms	A	dA	B_1	dB_1	B_2	dB_2	C	dC	XE_0	dXE_0	XP_0	dXP_0	W	dW	N	dN	X	dX	W_50	dW_50	W_20	dW_20	F_peak	dF_peak	F_int	dF_int

0105-008_gmrt.freq	0	171	166	18.7071	0.112693	0.01	0.259421	2.8113	0.143033	0.357994	0.245515	0.159166	0	0	89.2033	16.6248	0.1	0	0.119919	29.5682	0	0	-26.3311	1.008	15.5189	1.50588	24.2077	2.00455	0.0725857	0.00524724	1.21947	0.0934467
0201+113_gmrt.freq	0	86	81	7.0894	0.0875235	0.01	0.0198501	0.0365623	1.61608	4.67613	0.534443	1.43318	0	0	33.1157	1.62632	0.1	0	1.34277	2.50206	0	0	-2.86883	7.6204	21.0785	18.688	31.1928	21.7215	0.0177247	0.0120637	0.387628	0.199466
0235+164_gmrt.freq	2	123	118	0.00116453	9.86889e-06	0.01	2.0987e+07	1.9078e+12	0.362279	19.6869	0.0156852	29.1037	0	0	-79.2037	579533	0.1	0	-148.094	579716	0	0	-46.789	17445.5	22.4234	62024.5	40.97	39344.1	0.000331638	0.102856	0.00909925	0.346781
0237-233_gbt.freq	1	97	92	1490.8	16.2043	0.01	712.853	313592	7.28047	9.60296e+15	0.26742	6.93793	0	0	35.8276	4.73018e+13	0.1	0	-4.24413	4.73018e+13	0	0	-4.36157	2.52023e+13	1.50506	1.8299e+14	3.0744	2.31275e+14	0.361731	4.49162e+13	0.69997	1.7271e+13
0311+430_gmrt.freq	1	510	505	237.712	0.470716	0.01	0.700656	5.30217	0.130508	0.0274956	0.0292852	0.0388643	0	0	212.535	68.6772	0.1	0	-12.6263	72.7172	0	0	62.1434	3.83221	56.75	4.85165	94.8433	6.40333	0.0608777	0.00346437	3.92447	0.238086
0438-436_gbt.freq	1	54	49	19.268	0.393225	0.01	2.13249	92.8188	0.89439	0.658395	0.104001	0.539182	0	0	20.5596	96.0955	0.1	0	-6.43135	97.2031	0	0	21.2084	10.1021	30.9768	10.3488	54.992	14.178	0.0400422	0.00850573	1.46885	0.334036
0458-020_highz_gbt.freq	0	113	105	93.4313	0.889822	0.01	0.180385	0.0152418	0.25289	0.0190431	0.267191	0.019077	0.175095	0.0907533	58.8896	0.18276	61.3118	0.184523	7.92187	0.302477	0.953565	0.241237	-2.36398	0.138604	27.3833	0.319125	34.8201	0.34287	0.338224	0.00516443	8.12218	0.0858908
0458-020_lowz_gbt.freq	0	260	252	139.465	0.553433	0.01	0.0620011	1.55993	0.400464	1.01747	0.318328	1.22864	0.0214236	0.148303	114.508	8.46514	116.362	3.41525	0.261438	34.3766	4.04271	3.7133	0.721836	1.09627	5.28178	1.62224	9.95556	2.1246	0.0524575	0.00817359	0.341995	0.0540948
0738+313_z0.0912_gmrt.freq	1	126	121	16.8775	0.139484	0.01	0.902528	15.3781	0.155251	0.366085	0.177186	0.257822	0	0	66.053	7.75558	0.1	0	-0.0404756	45.7018	0	0	9.32122	0.0784977	4.02873	0.12278	6.20327	0.168712	0.223138	0.00531833	0.964942	0.0206001
