Filename	Success	Nchan	dof	chi^2	chi^2/dof	rms	A	dA	B_1	dB_1	B_2	dB_2	C	dC	XE_0	dXE_0	XP_0	dXP_0	W	dW	N	dN	X	dX	W_50	dW_50	W_20	dW_20	F_peak	dF_peak	F_int	dF_int
0237-233_kpec09.DAT	0	267	259	2.78223e+09	1.07422e+07	0.01	10.0617	72.1971	4.71257	1.26995e+06	0.982262	1.8739	3.03078	28.3432	109.959	24209.8	115.539	0.945043	8.13903	24209.8	0.54574	0.679776	531.517	0.0105198	0.0115987	0.0337874	0.0182102	0.0222209	134.676	240.095	1.51933	2.24298
0414+0534_YY+cwt+11.DAT	2	160	152	nan	nan	0.01	0	-nan	0.5	-nan	0.5	-nan	0.01	-nan	-nan	-nan	-nan	-nan	-nan	-nan	2	-nan	1025.9	0	0	0	0	0	0	0	0	0
0809+483_bdv01.DAT	2	95	87	nan	nan	0.01	0	-nan	0.5	-nan	0.5	-nan	0.01	-nan	-nan	-nan	-nan	-nan	-nan	-nan	2	-nan	987.382	0	0	0	0	0	0	0	0	0
0834-20_sma+20.DAT	1	36	28	45.4547	1.62338	0.01	3.74058	55.9243	0.868002	0.603464	0.162414	0.149785	0.103594	0.426708	8.48628	16.909	12.569	1.89154	-3.74639	18.021	3.23202	3.20649	4.92366	1.89598	80.4011	3.88332	107.375	4.99812	0.125422	0.00660473	9.49502	0.402887
1127-145_lsb+98.DAT	0	651	643	2.09063e+09	3.25138e+06	0.01	170.441	31.4872	0.0779699	0.0440237	0.0507614	0.00460765	0.00022731	0.00282186	288.086	13.1796	267.815	43.0619	38.1995	5.52759	2.29813	2.85451	1082.02	4.06762e-07	0.122156	3.34154e-06	0.203264	1.02542e-06	351.249	0.00247311	45.894	0.000231419
1243-072_lb01.DAT	2	607	599	nan	nan	0.01	0	-nan	0.5	-nan	0.5	-nan	0.01	-nan	-nan	-nan	-nan	-nan	-nan	-nan	2	-nan	-20.1	0	0	0	0	0	0	0	0	0
1430-kpec09.DAT	0	348	343	2.28785e+06	6670.11	0.01	2.44102	0.120252	0.037812	0.00863454	0.998731	1.11704	0	0	187.245	1.59411	0.1	0	42.639	1.62587	0	0	610.553	1.77266e-05	0.0767504	3.5824e-05	0.0914569	4.75322e-05	2.441	0.00147193	0.187348	0.000100566
1610-77_sma+20.DAT	0	40	32	6.24106	0.195033	0.01	0.0267674	0.0633024	0.348984	0.28425	1.36542	0.671409	0.0965641	0.212178	22.3575	3.43022	21.3829	1.4249	1.56133	3.98007	3.75599	2.88904	-13.1628	5.20164	16.3764	5.12586	80.7336	9.38095	0.0538372	0.0107812	1.95936	0.309313
1629+12_kc02.DAT	1	285	280	88.7371	0.316918	0.01	2.16478	11.0165	0.0494075	0.00490504	0.00711004	0.00496466	0	0	40.0739	174.324	0.1	0	-79.4699	177.726	0	0	927.297	0.00153277	0.0565227	0.00243583	0.0983842	0.00325836	0.074259	0.00202878	0.00487693	0.000130911
1830-211_cdn99.DAT	0	42	34	322.249	9.4779	0.01	0.0254022	0.0546774	0.513774	0.0846218	0.296885	0.22352	1.99406	4.93444	21.1146	1.33446	25.4069	0.540021	5.52195	1.14007	1.11912	0.372933	-72.1082	2.99224	217.69	4.09084	324.537	3.86375	0.493466	0.00631707	116.354	1.49697
2003-025_kpec09.DAT	0	196	188	1.37764e+07	73278.9	0.01	13.0615	6.18341	0.24535	0.0698426	0.185664	0.0441015	0.158152	0.515665	60.1689	0.494269	63.3114	0.993363	11.4418	0.786762	0.587136	1.00077	589.129	1.06459e-05	0.164039	2.39914e-05	0.203811	2.83942e-05	20.0271	0.00460409	3.03341	0.000430409
2351+456_dgh+04.DAT	0	23	15	49.1381	3.27587	0.01	0.179622	0.397286	1.59914	0.208566	1.24455	0.462728	0.861923	3.75303	9.31585	0.104415	11.0014	0.514232	2.65917	0.176354	0.713468	1.02059	10.2379	1.29885	60.6552	3.19068	93.4005	1.43407	0.541377	0.0133083	33.6865	1.25415
J0849+5108_gsn+13.DAT	2	117	109	nan	nan	0.01	0	-nan	0.5	-nan	0.5	-nan	0.01	-nan	-nan	-nan	-nan	-nan	-nan	-nan	2	-nan	1082.4	0	0	0	0	0	0	0	0	0
