Filename	Success	Nchan	dof	chi^2	chi^2/dof	rms	A	dA	B_1	dB_1	B_2	dB_2	C	dC	XE_0	dXE_0	XP_0	dXP_0	W	dW	N	dN	X	dX	W_50	dW_50	W_20	dW_20	F_peak	dF_peak	F_int	dF_int

J075756.71+395936.1_spec.txt	0	220	215	329.9	1.53442	0.000270632	0.00655138	0.00787154	0.340817	0.08972	0.119726	0.06797	0	0	90.8445	3.45791	0.1	0	1.85452	4.65041	0	0	1.31346e+09	24380.3	662044	44936	1.06296e+06	51392	0.00337406	0.000149939	2445.33	104.877
J080601.51+190614.7_spec.txt	2	220	215	251.886	1.17156	0.000560566	1.40235e+08	6.88944e+10	0.194235	0.0302876	0.0175259	0.179415	0	0	-33.2762	2830.29	0.1	0	-129.639	2833.72	0	0	1.34934e+09	2.59268e+06	946246	736955	1.57253e+06	2.35532e+06	0.00474146	0.0166968	5141.38	6669.81
J080938.88+345537.2_spec.txt	0	179	174	210.162	1.20783	0.000315182	0.00122095	0.000370294	0.666952	0.628309	1.33483	2.34796	0	0	80.7211	0.356084	0.1	0	2.14348	0.563465	0	0	1.3131e+09	27088.2	336005	72194.3	440946	76054.7	0.00121274	0.000275834	408.921	67.7461
J082133.60+470237.3_spec.txt	2	220	212	-nan	-nan	0	0.0081123	-nan	0.5	-nan	0.5	-nan	0.01	-nan	130	-nan	130	-nan	1	-nan	2	-nan	1.26008e+09	-nan	280597	-nan	430242	-nan	0.00468875	-nan	1404.27	-nan
J083548.14+151717.0_spec.txt	0	220	212	458.534	2.1629	0.00121093	0.00396251	0.012199	0.543345	0.987567	1.99127	84.7482	3.57406e-09	7.77678e-07	114.718	27.785	113.043	17.6286	1.2868	32.8566	18.388	106.333	1.21679e+09	790563	79326.7	563415	299063	1.97319e+06	0.00923541	0.122102	1753.19	8322.96
J083637.84+440109.6_spec.txt	1	185	177	337.753	1.90821	0.000353103	0.00522086	0.135599	0.416695	0.611551	0.323036	0.687659	0.0319594	0.109871	91.0223	7.22789	90.9995	1.26195	-0.738942	25.4798	4.82868	3.50383	1.34565e+09	44597	279254	60093.8	808539	271543	0.00212495	0.000284886	857.783	106.408
J084307.11+453742.8_spec.txt	1	185	177	513.723	2.90239	0.000990064	0.106971	1.36146	0.302741	0.426958	0.418074	0.306592	0.048661	0.0619275	92.5593	4.85268	90.4201	0.439736	-0.398738	14.6967	4.09061	0.670206	1.19148e+09	4044.96	252960	2632.45	420538	5651.19	0.108485	0.000815562	33241.1	320.989
J090325.54+162256.0_spec.txt	0	220	212	468.636	2.21055	0.000844589	0.000875998	0.0043479	0.695879	1.21812	0.444019	0.553599	2.43244	8.5216	128.678	1.57363	129.213	0.805991	1.77409	7.66801	1.77623	4.16566	1.2013e+09	33327	460227	140207	639292	65942.3	0.00509269	0.000842056	1671.37	223.248
J090734.91+325722.9_spec.txt	0	220	212	306.78	1.44707	0.00124655	0.0172922	1.17377	0.535196	1.91623	0.473442	0.763909	0.0321458	52.1007	128.756	15.6183	122.997	441.072	2.15781	6.01018	0.68959	570.072	1.3539e+09	13786.5	370717	28019.8	542176	29541.5	0.0168129	0.00104792	6469.33	347.965
