Filename	Success	Nchan	dof	chi^2	chi^2/dof	rms	A	dA	B_1	dB_1	B_2	dB_2	C	dC	XE_0	dXE_0	XP_0	dXP_0	W	dW	N	dN	X	dX	W_50	dW_50	W_20	dW_20	F_peak	dF_peak	F_int	dF_int

SPEC_J0041S.DAT	1	512	504	1281.88	2.54341	0.00191476	0.487836	9.72646	3.65132	62376	0.0414577	0.30539	0.0539498	0.349657	498.503	676.944	501.024	1.62642	-0.598757	1069.42	1.22691	0.447917	1397.93	4.78853	0.234537	89.0087	0.352595	43.1612	0.24207	118.473	0.0227648	2.21126
SPEC_J0849_2.DAT	0	512	504	22285.9	44.2181	0.00138178	0.0040932	0.00567487	0.818051	1.42086	0.693847	2.09015	0.0335779	0.413223	237.067	2.63366	237.861	3.18238	4.66725	4.11773	3.14805	8.5322	1082.59	0.00194287	0.0250555	0.00257041	0.0958644	0.00308967	0.0181797	0.0011993	0.000779776	4.25064e-05
SPEC_J0921+6215.DAT	0	512	504	770.536	1.52884	0.00845499	0.0162804	3.62885	5.22283	2.04803e+09	4.73245	1.60567e+09	0.497066	116.605	257.125	4.9653e+07	254.781	441.558	3.86909	5.05421e+07	0.986447	4.63261	675.225	149302	0.0178606	157120	0.0321868	280168	0.0619978	569321	0.0011756	9330.82
SPEC_J1241.DAT	0	128	120	3030.77	25.2564	0.000647896	0.00160958	0.00265347	1.00386	1.45413	0.554781	0.844107	0.261593	1.516	59.256	1.57669	59.8428	1.58328	3.76385	2.92629	2.43346	4.40006	1242.8	0.00324798	0.0406265	0.00360273	0.162935	0.00517904	0.00975111	0.000615498	0.000702804	3.67826e-05
SPEC_J1243.DAT	0	128	120	136.703	1.13919	0.00134175	0.0191959	0.0758661	0.276403	0.0991342	4.66586	979250	0.106433	0.52773	46.1184	26125.9	44.0722	1.75407	0.632663	26118.5	4.39036	4.03719	1396.43	1967.75	0.0116989	1022	0.117945	23812.5	0.0780983	11698.8	0.00231374	79.886
SPEC_J1255+1817.DAT	0	1864	1856	2686.13	1.44727	0.00515023	3.24689e-07	0.00330274	0.314654	0.0527943	6.90102	8.08916e+14	3757.62	3.8225e+07	966.376	9.07647e+12	975.242	0.921317	14.4692	9.07647e+12	1.34583	0.265507	808.15	2.47272e+10	0.0687261	8.17564e+07	0.107994	1.70484e+09	0.0640347	1.01047e+08	0.00474605	1.01447e+09
SPEC_J1342+5110.DAT	0	487	482	634.131	1.31562	0.00222951	0.00998841	0.000877456	0.111258	0.0358201	0.37712	0.198899	0	0	234.524	0.77468	0.1	0	12.5122	0.941907	0	0	570.862	0.00288571	0.103065	0.00661151	0.131541	0.00781421	0.00996846	0.000725106	0.00102862	5.95004e-05
SPEC_J1428.DAT	2	512	504	573.48	1.13786	0.00123828	130305	9.27395e+06	0.321074	0.530618	0.735787	0.196417	0.0619769	0.0271958	237.181	22.757	233.161	0.0806638	-5.76717	24.6045	6.46817	0.78622	1018.68	0.00213091	0.0352588	0.00159717	0.0584155	0.00314881	0.030488	0.00449285	0.000997432	7.85231e-05
SPEC_J1438d.DAT	0	505	500	880.217	1.76043	0.00126677	0.0132328	0.00217882	0.237052	0.0778735	0.405206	0.144741	0	0	249.66	0.321693	0.1	0	4.50693	0.689842	0	0	1238.59	0.00204133	0.0760257	0.00515009	0.107403	0.00550725	0.0125222	0.000731801	0.000972445	4.54625e-05
SPEC_J1443.DAT	1	512	507	649.412	1.28089	0.00092959	8.65564e+08	2.37611e+11	0.0826883	0.472485	0.532235	0.0465697	0	0	277.144	334.606	0.1	0	-27.1741	335.799	0	0	1035.63	0.0105659	0.0306719	0.013222	0.048417	0.00598304	0.0464964	0.00202001	0.0015685	0.00020222
SPEC_J1551.DAT	0	511	503	836.039	1.66211	0.00102203	0.10161	3.85936e+11	3.24686	3.90842e+10	0.0575636	1.97614e+11	0.106379	1.49008e+11	506.701	3.08145e+13	507	7.14754e+11	1.53311	3.0839e+13	0.908478	5.09875e+11	1066.6	1.21751e+08	0.259017	1.80807e+11	0.434837	4.08655e+11	0.0664106	1.24522e+10	0.00284174	3.36523e+07
SPEC_J1639.DAT	0	512	504	5575.65	11.0628	0.00179839	0.112431	0.214281	0.126561	0.0455516	0.0791416	0.0359262	0.0444112	0.0551825	234.983	4.69628	235.953	0.80372	5.2473	15.494	1.33862	1.01849	1316.28	0.000390398	0.104726	0.000919931	0.143235	0.00103915	0.0778587	0.000768729	0.00820346	5.38137e-05
SPEC_J2219+0229.DAT	0	1117	1109	1701.86	1.53459	0.00347671	0.0190615	0.0511627	0.252078	0.10028	0.351217	0.181303	0.0257895	0.0332488	583.812	1.48294	583.652	0.616081	1.44898	6.21548	4.21014	1.44573	717.123	0.00140994	0.0271075	0.00179181	0.0884507	0.0025366	0.0444029	0.00223682	0.00193035	8.59726e-05
