Filename	Success	Nchan	dof	chi^2	chi^2/dof	rms	A	dA	B_1	dB_1	B_2	dB_2	C	dC	XE_0	dXE_0	XP_0	dXP_0	W	dW	N	dN	X	dX	W_50	dW_50	W_20	dW_20	F_peak	dF_peak	F_int	dF_int

J075756.71+395936.1_spec.txt	0	220	215	0.241625	0.00112384	0.01	0.00655138	0.234806	0.340817	2.67632	0.119726	2.02752	0	0	90.8445	103.148	0.1	0	1.85452	138.72	0	0	1.31346e+09	900865	662044	1.66041e+06	1.06296e+06	1.89896e+06	0.00337406	0.00554031	2445.33	3875.26
J080601.51+190614.7_spec.txt	1	220	215	0.791508	0.00368143	0.01	1.61155e+08	1.31794e+12	0.194234	0.498869	0.017475	2.96106	0	0	-34.0802	47120.6	0.1	0	-130.444	47177.1	0	0	1.34934e+09	2.51654e+07	946240	3.46911e+07	1.57254e+06	4.01827e+07	0.00474155	0.275847	5141.53	76660.1
J080938.88+345537.2_spec.txt	0	179	174	0.208775	0.00119986	0.01	0.00122095	0.0106901	0.666952	18.1388	1.33483	67.7839	0	0	80.7211	10.2799	0.1	0	2.14348	16.2668	0	0	1.3131e+09	859447	336005	2.29056e+06	440946	2.41304e+06	0.00121274	0.00875156	408.921	2149.43
J082133.60+470237.3_spec.txt	0	220	215	5.46628	0.0254246	0.01	0.0121685	0.11861	4.93272	1.36562e+10	4.61808	9.32072e+09	0	0	129.971	4.91679e+07	0.1	0	0.999809	4.91679e+07	0	0	1.26009e+09	5.326e+12	156281	5.48994e+12	178881	2.2871e+13	0.0121685	0.0100023	1901.09	9.33969e+10
J083548.14+151717.0_spec.txt	0	220	212	6.72368	0.0317155	0.01	0.00396251	0.0684995	0.543345	5.54538	1.99127	475.877	3.57406e-09	4.36681e-06	114.718	156.018	113.043	98.988	1.2868	184.496	18.388	597.077	1.21679e+09	6.52826e+06	79326.7	4.65275e+06	299063	1.62949e+07	0.00923541	1.00834	1753.19	68733
J083637.84+440109.6_spec.txt	1	185	177	0.421116	0.00237918	0.01	0.00522086	2.77998	0.416695	12.5377	0.323036	14.098	0.0319594	2.25253	91.0223	148.183	90.9995	25.8719	-0.738942	522.374	4.82868	71.8337	1.34565e+09	1.263e+06	279254	1.70188e+06	808539	7.69021e+06	0.00212495	0.00806809	857.783	3013.52
J084307.11+453742.8_spec.txt	1	185	177	5.03565	0.02845	0.01	0.106971	8.07166	0.302741	2.53131	0.418074	1.81769	0.048661	0.367149	92.5593	28.77	90.4201	2.60706	-0.398738	87.1321	4.09061	3.97344	1.19148e+09	40855.5	252960	26588.7	420538	57079	0.108485	0.00823747	33241.1	3242.11
J090325.54+162256.0_spec.txt	0	220	212	3.34292	0.0157685	0.01	0.000875998	0.0346246	0.695879	9.70049	0.444019	4.4086	2.43244	67.8619	128.678	12.5317	129.213	6.41852	1.77409	61.0643	1.77623	33.1733	1.2013e+09	394595	460227	1.66006e+06	639292	780762	0.00509269	0.00997001	1671.37	2643.28
J090734.91+325722.9_spec.txt	0	220	212	4.76703	0.022486	0.01	0.0172922	7.82758	0.535196	12.7789	0.473442	5.09431	0.0321458	347.446	128.756	104.154	122.997	2941.4	2.15781	40.0803	0.68959	3801.66	1.3539e+09	110599	370717	224778	542176	236985	0.0168129	0.00840654	6469.33	2791.42
J090937.44+192808.2_spec.txt	0	185	177	0.350753	0.00198166	0.01	0.00528201	0.111141	0.245179	1.88316	0.876653	22.8752	0.181176	24.6635	95.9404	116.373	96.2599	111.483	1.49794	59.2698	2.48373	93.9353	1.38207e+09	238822	472439	979337	844699	611714	0.00800239	0.00647668	4371.05	3180.15
J093551.59+612111.3_spec.txt	0	185	180	0.872412	0.00484673	0.01	0.0117245	0.0360291	0.0455085	0.111767	0.100731	0.181917	0	0	90.7364	23.0128	0.1	0	11.6499	42.1678	0	0	1.36692e+09	541064	2.37113e+06	1.20099e+06	3.65018e+06	1.28735e+06	0.00869914	0.00303748	21958.2	6895.71
J102053.67+483124.3_spec.txt	0	220	212	0.744347	0.00351107	0.01	0.00158208	0.509924	0.893463	100.177	0.840654	12.3682	0.0525699	81.7648	90.0199	113.643	85.9803	4953.26	3.89501	100.152	1.46184	620.081	1.18924e+09	559727	564914	1.88072e+06	700614	9.25855e+06	0.00274032	0.00855214	1403.38	2777.31
J102400.53+511248.1_spec.txt	1	220	215	2.13636	0.00993658	0.01	2486.47	5.8618e+06	0.0258346	2.31393	0.765912	5.11657	0	0	179.867	12344	0.1	0	-62.8721	12349.3	0	0	1.17134e+09	1.93172e+06	468980	1.83421e+06	910063	2.02061e+06	0.00394971	0.0176706	2350.15	4846.7
