Filename	Success	Nchan	dof	chi^2	chi^2/dof	rms	A	dA	B_1	dB_1	B_2	dB_2	C	dC	XE_0	dXE_0	XP_0	dXP_0	W	dW	N	dN	X	dX	W_50	dW_50	W_20	dW_20	F_peak	dF_peak	F_int	dF_int

0003+380_ak18.DAT	0	42	37	6.31098	0.170567	0.01	0.0379489	0.049145	0.15657	0.184471	0.302827	0.28922	0	0	17.9287	2.61409	0.1	0	4.03735	5.72518	0	0	-46.47	0	0	0	0	0	0.0298969	0.00535146	0	0
0035+22_omd+17.DAT	0	57	49	1.09202	0.0222861	0.01	0.00457092	0.811385	3.53963	6689.45	3.55249	35540.2	0.381986	83.8011	43.2115	2045.03	45.0276	430.664	3.38236	2045.7	0.972353	19.4051	425.947	48945.2	168.537	249462	183.43	86685.9	0.0122894	0.313777	1.45561	704.898
0229+0044_ckc20.DAT	2	55	47	nan	nan	0.01	0	-nan	0.5	-nan	0.5	-nan	0.01	-nan	-nan	-nan	-nan	-nan	-nan	-nan	2	-nan	-736.3	0	0	0	0	0	0	0	0	0
0229+0053_ckc20.DAT	2	61	53	nan	nan	0.01	0	-nan	0.5	-nan	0.5	-nan	0.01	-nan	-nan	-nan	-nan	-nan	-nan	-nan	2	-nan	-576.1	0	0	0	0	0	0	0	0	0
0941-08_omd+17.DAT	2	63	58	90.8435	1.56627	0.01	0.0463615	0.00513039	0.37695	0.241853	18.4777	1.51434e+18	0	0	29.776	8.59932e+15	0.1	0	5.01411	8.59932e+15	0	0	-500.743	3.74889e+17	273.118	9.99968e+17	319.879	9.05105e+17	0.0463615	59797	12.6791	3.34554e+16
101301.DAT	0	154	149	3.23062	0.021682	0.01	0.00457969	0.00131599	26.9782	1.59556e+17	0.23904	0.81964	0	0	86.1445	2.85393e+13	0.1	0	32.1348	2.85393e+13	0	0	-500.568	1.68663e+12	674.464	1.567e+13	702.003	2.48082e+13	0.00457969	0.00131599	3.0896	1.54918e+10
1045+35A_adi.DAT	1	157	152	12.0968	0.0795839	0.01	1.72355	62.5906	0.00688587	0.0262965	0.190566	0.157049	0	0	246.976	1150.47	0.1	0	-116.434	1152.27	0	0	-27.13	0	0	0	0	0	0.0163468	0.00289477	0	0
1142+052_kpec09.DAT	0	333	325	3.3389	0.0102735	0.01	0.00327768	0.00395282	0.0710247	0.113455	0.120766	0.222599	0.0230955	0.318336	210.771	6.86428	197.012	23.5554	71.1431	8.14973	0.863879	2.81888	606.224	0.0101708	0.15601	0.0179262	0.171472	0.0218379	0.00623575	0.00221055	0.000776434	0.000145594
1200+045_ak17.DAT	0	72	64	3.29891	0.0515455	0.01	0.00664657	0.0287331	0.640142	1.01385	0.0498175	0.0800407	0.192214	1.69886	14.2546	27.8795	20.7513	4.44494	3.36553	28.8265	1.30435	2.89915	-2092.83	17.4069	18.3017	11.6181	97.804	29.3696	0.0158865	0.0064558	0.68217	0.218694
