,Filename,A,B_1,B_2,C,N,X,W_50,W_20,F_peak,F_int,Class
0,J075756.71+395936.1_spec.txt,0.00655138,0.340817,0.119726,0.0,0.0,1313460000.0,662044.0,1062960.0,0.00337406,2445.33,0
1,J080601.51+190614.7_spec.txt,161155000.0,0.194234,0.017475,0.0,0.0,1349340000.0,946240.0,1572540.0,0.00474155,5141.53,0
2,J080938.88+345537.2_spec.txt,0.00122095,0.666952,1.33483,0.0,0.0,1313100000.0,336005.0,440946.0,0.00121274,408.921,0
3,J082133.60+470237.3_spec.txt,0.0121685,4.93272,4.61808,0.0,0.0,1260090000.0,156281.0,178881.0,0.0121685,1901.09,0
4,J083548.14+151717.0_spec.txt,0.00396251,0.543345,1.99127,3.57406e-09,18.388,1216790000.0,79326.7,299063.0,0.00923541,1753.19,0
5,J083637.84+440109.6_spec.txt,0.00522086,0.416695,0.323036,0.0319594,4.82868,1345650000.0,279254.0,808539.0,0.00212495,857.783,0
6,J084307.11+453742.8_spec.txt,0.106971,0.302741,0.418074,0.048661,4.09061,1191480000.0,252960.0,420538.0,0.108485,33241.1,0
7,J090325.54+162256.0_spec.txt,0.000875998,0.695879,0.444019,2.43244,1.77623,1201300000.0,460227.0,639292.0,0.00509269,1671.37,0
8,J090734.91+325722.9_spec.txt,0.0172922,0.535196,0.473442,0.0321458,0.68959,1353900000.0,370717.0,542176.0,0.0168129,6469.33,0
9,J090937.44+192808.2_spec.txt,0.00528201,0.245179,0.876653,0.181176,2.48373,1382070000.0,472439.0,844699.0,0.00800239,4371.05,0
10,J093551.59+612111.3_spec.txt,0.0117245,0.0455085,0.100731,0.0,0.0,1366920000.0,2371130.0,3650180.0,0.00869914,21958.2,0
11,J102053.67+483124.3_spec.txt,0.00158208,0.893463,0.840654,0.0525699,1.46184,1189240000.0,564914.0,700614.0,0.00274032,1403.38,0
12,J102400.53+511248.1_spec.txt,2486.47,0.0258346,0.765912,0.0,0.0,1171340000.0,468980.0,910063.0,0.00394971,2350.15,0
13,J102544.22+102230.4_spec.txt,0.0148286,0.850547,2.81121,0.0,0.0,1358420000.0,291295.0,363784.0,0.0148214,4320.75,0
14,J103932.12+461205.3_spec.txt,0.00730954,0.541871,0.576498,0.0,0.0,1197440000.0,290050.0,435750.0,0.00570125,1740.81,0
15,J105327.25+205835.9_spec.txt,0.00131205,0.802416,0.533558,0.0,0.0,1349570000.0,672783.0,818245.0,0.00131193,882.704,0
16,J110017.98+100256.8_spec.txt,416644.0,0.27241,0.13394,0.0308869,3.43083,1371060000.0,414323.0,804141.0,0.0566738,29986.2,0
17,J111113.19+284147.0_spec.txt,0.00497188,0.107398,0.755273,0.0,0.0,1380470000.0,669731.0,1090460.0,0.003585,2610.94,0
18,J111916.54+623925.7_spec.txt,139968000.0,0.417103,0.0590312,0.0,0.0,1279820000.0,385832.0,613380.0,0.010529,4498.23,0
19,J112030.04+273610.7_spec.txt,0.0776145,0.459541,0.561299,0.0,0.0,1277130000.0,243490.0,374836.0,0.0297518,7778.74,0
20,J112332.04+235047.8_spec.txt,0.00154039,0.875818,0.680919,6.21418e-05,10.9962,1184360000.0,131219.0,715758.0,0.00378397,1004.19,0
21,J120231.12+163741.8_spec.txt,0.032969,0.353644,0.0601623,0.0,0.0,1269270000.0,667063.0,1149300.0,0.00295939,2283.67,0
22,J120551.46+203119.0_spec.txt,0.000886188,8.14959,0.921173,0.0,0.0,1343050000.0,168859.0,228825.0,0.000878263,149.882,0
23,J120855.60+464113.8_spec.txt,0.00279485,0.503428,1.06471,0.0,0.0,1388950000.0,228097.0,348313.0,0.0021736,524.768,0
24,J122513.09+321401.6_spec.txt,0.00216321,0.621117,1.35816,0.0704826,3.92252,1340200000.0,222169.0,531686.0,0.00776946,2260.09,0
25,J123200.55+331747.6_spec.txt,0.000865954,0.878782,0.473975,0.733693,1.74958,1281850000.0,583453.0,724805.0,0.00323876,1320.34,0
