,Filename,Success,Nchan,dof,chi^2,chi^2/dof,rms,A,dA,B_1,dB_1,B_2,dB_2,C,dC,XE_0,dXE_0,XP_0,dXP_0,W,dW,N,dN,X,dX,W_50,dW_50,W_20,dW_20,F_peak,dF_peak,F_int,dF_int,Class
0,0003+380_ak18.DAT,0,42,37,22.0812,0.596788,0.01,0.07033,0.0449001,0.158193,0.0960793,0.315068,0.158197,0.0,0.0,17.9203,1.32018,0.1,0.0,4.06155,2.81172,0.0,0.0,-46.47,0.0,0.0,0.0,0.0,0.0,0.0562066,0.00542048,0.0,0.0,0
1,0035+22_omd+17.DAT,0,57,49,3.19013,0.0651047,0.01,0.00760345,0.164229,3.61817,4974.59,3.43305,1499.68,0.449304,18.7407,43.1993,153.679,45.0029,29.1619,3.3775,153.912,0.895374,9.55767,425.947,5104.23,169.005,13720.2,183.261,10447.2,0.0209744,0.296404,2.50732,155.877,0
2,0105-008_gmrt.freq,1,171,166,11.9733,0.0721281,0.01,0.243827,3.72863,0.139187,0.459737,0.248425,0.176722,0.0,0.0,89.449,24.589,0.1,0.0,0.262651,40.6249,0.0,0.0,-26.3225,1.25021,15.332,1.82107,23.9489,2.42731,0.0593771,0.00526123,0.986714,0.0932359,0
3,0941-08_omd+17.DAT,2,63,58,13.7241,0.236623,0.01,0.0181627,0.00518343,0.375388,0.443978,14.9097,1.23296e+18,0.0,0.0,29.7558,1.0965e+16,0.1,0.0,4.97901,1.0965e+16,0.0,0.0,-501.49,1.69448e+17,271.151,1.903e+17,316.234,2.87376e+17,0.0181627,93227.5,4.92851,5865600000000000.0,0
4,101301.DAT,0,154,149,3.49873,0.0234814,0.01,0.00535231,0.00169772,0.0500568,0.0734728,0.230432,0.670533,0.0,0.0,83.4257,7.92813,0.1,0.0,34.6672,8.74958,0.0,0.0,-525.438,23.6325,201.073,50.7153,243.043,65.7672,0.00535207,0.00169454,1.07617,0.296307,0
5,1045+35A_adi.DAT,1,157,152,41.1893,0.270982,0.01,1.21855,16.3584,0.0077494,0.0134817,0.192291,0.0873576,0.0,0.0,216.327,414.934,0.1,0.0,85.7653,415.911,0.0,0.0,-26.071,25.3817,208.543,36.9503,409.57,48.9746,0.0299061,0.00296429,7.76404,0.701545,0
6,1142+052_gmrt.freq,0,87,79,1.09247,0.0138287,0.01,0.00340346,0.00783507,0.362294,1.33799,0.284605,0.852762,0.0739191,1.49329,52.7544,4.61589,49.0212,11.1124,13.725,5.63523,0.997937,6.76198,-15.6459,17.0164,107.432,31.9828,122.156,39.2228,0.00641664,0.00439068,0.561522,0.234657,0
7,1142+052_kpec09.DAT,0,333,325,3.28395,0.0101045,0.01,0.00324761,0.00395139,0.0710473,0.114309,0.120579,0.223566,0.0231438,0.320463,210.771,6.91598,197.006,23.4845,71.1267,8.19922,0.864611,2.83023,-8.18854,5.06652,77.1301,8.92248,84.7803,10.8929,0.00619304,0.00220882,0.380954,0.0719927,0
8,1200+045_ak17.DAT,0,72,64,1.18159,0.0184623,0.01,0.00399607,0.0290769,0.639713,1.68856,0.0496907,0.133777,0.193931,2.86576,14.1884,46.9923,20.7476,7.40192,3.29575,48.5663,1.30314,4.83824,-2092.86,29.117,18.2757,19.3353,97.6861,48.9107,0.00952747,0.00645841,0.408239,0.21873,0
9,1245-197_ak17.DAT,1,69,61,0.517409,0.00848212,0.01,0.0829107,12.1742,0.139156,1.34111,0.154558,1.14563,0.0010074,0.0121054,36.5852,44.2413,38.4233,8.37924,2.90389,317.869,4.23595,6.83946,-6.2657,34.7476,100.362,42.6202,203.863,80.6903,0.0198325,0.00531212,2.58616,0.678565,0
