Filename	Success	Nchan	dof	chi^2	chi^2/dof	rms	A	dA	B_1	dB_1	B_2	dB_2	C	dC	XE_0	dXE_0	XP_0	dXP_0	W	dW	N	dN	X	dX	W_50	dW_50	W_20	dW_20	F_peak	dF_peak	F_int	dF_int

0003+380_ak18.DAT	0	42	37	6.31098e+06	170567	0.01	37.9489	20.2968	0.15657	0.0761863	0.302827	0.119447	0	0	17.9287	1.07961	0.1	0	4.03735	2.36449	0	0	-46.47	0	0	0	0	0	29.8969	0.00535146	0	0
0035+22_omd+17.DAT	0	57	49	1.09202	0.0222861	0.01	0.00457092	0.811385	3.53963	6689.45	3.55249	35540.2	0.381986	83.8011	43.2115	2045.03	45.0276	430.664	3.38236	2045.7	0.972353	19.4051	425.947	48945.2	168.537	249462	183.43	86685.9	0.0122894	0.313777	1.45561	704.898
0941-08_omd+17.DAT	2	63	58	90.8435	1.56627	0.01	0.0463615	0.00513039	0.37695	0.241853	18.4777	1.51434e+18	0	0	29.776	8.59932e+15	0.1	0	5.01411	8.59932e+15	0	0	-500.743	3.74889e+17	273.118	9.99968e+17	319.879	9.05105e+17	0.0463615	59797	12.6791	3.34554e+16
101301.DAT	0	154	149	3.23062e+06	21682	0.01	4.57969	0.195344	5.70148	4.14139e+12	0.23904	0.12072	0	0	86.1625	1.65856e+10	0.1	0	32.1168	1.65856e+10	0	0	-500.48	1.16043e+09	674.371	1.52869e+09	702.069	1.32086e+09	4.57969	0.00132663	3088.79	1.07193e+10
1045+35A_adi.DAT	1	157	152	1.20968e+07	79583.9	0.01	1723.55	17657.2	0.00688587	0.00741841	0.190566	0.0443045	0	0	246.976	324.556	0.1	0	-116.434	325.061	0	0	-27.13	0	0	0	0	0	16.3468	0.00289477	0	0
1142+052_kpec09.dat	0	333	325	3.3389e+06	10273.5	0.01	3.27768	0.400652	0.0710247	0.0114996	0.120766	0.0225623	0.0230955	0.032266	210.771	0.695752	197.012	2.38753	71.1431	0.826044	0.863879	0.285717	-8.17944	0.00502958	77.1485	0.00886468	84.7944	0.0107991	6.23575	0.00221055	383.954	0.0719975
1200+045_ak17.DAT	0	72	64	3.29891e+06	51545.5	0.01	6.64657	6.52347	0.640142	0.23018	0.0498175	0.0181722	0.192214	0.385702	14.2546	6.32967	20.7513	1.00916	3.36553	6.54467	1.30435	0.658213	-2092.83	0.0174069	18.3017	0.0116181	97.804	0.0293696	15.8865	0.0064558	682.17	0.218694
1245-197_ak17.DAT	1	69	61	3.50183e+07	574070	0.01	687.056	9306.3	0.138828	0.123288	0.154096	0.10526	0.00102309	0.00112794	36.5802	4.07837	38.426	0.774347	-2.9149	29.3895	4.22138	0.628345	-6.1649	0.00421913	100.734	0.00518579	204.462	0.00990225	163.077	0.00529671	21341.4	0.678701
1504+377_cmr+98.DAT	0	122	114	3.22686e+08	2.83058e+06	0.01	0.0776302	787.154	0.317981	0.0366883	0.297586	0.0651404	3667.36	3.71963e+07	82.5356	0.303727	81.537	0.0974465	4.59246	1.02781	0.301217	0.862565	333.822	0.000561618	83.1436	0.00133052	110.167	0.00148898	341.233	0.00692876	26066.3	0.400901
J01465-0157_adi19.DAT	0	120	115	1.72921e+07	150366	0.01	41.3746	70.0098	0.0509544	0.0151778	0.0261152	0.01925	0	0	59.2837	18.2879	0.1	0	10.4587	32.05	0	0	39.73	0	0	0	0	0	21.0081	0.00234521	0	0
J135217.88+312646.4_spec.txt	0	185	177	39.229	0.221633	0.01	0.1021	0.00891169	0.31717	0.0971587	0.463901	0.0853806	9.44383e-06	5.14697e-05	84.1999	0.715002	81.8929	1.48194	4.33825	0.817401	6.6378	2.51054	-130.095	3.55148	99.4826	22.398	222.103	7.32015	0.207654	0.00748469	27.4344	0.807864
