# This is the local BusyFit history file in which all fit results are stored.
# In order to delete the history, e.g. prior to a batch run of BusyFit on a
# large number of spectra, simply delete the file; it will be recreated 
# during the next launch of the software. Alternatively, you may choose to 
# remove individual entries from the file. The results of new fits will be 
# appended at the end of the file.
#
# The parameters in the respective columns (separated by tabs) are:
#
# Filename	Success	Nchan	dof	chi^2	chi^2/dof	rms	A	dA	B_1	dB_1	B_2	dB_2	C	dC	XE_0	dXE_0	XP_0	dXP_0	W	dW	N	dN	X	dX	W_50	dW_50	W_20	dW_20	F_peak	dF_peak	F_int	dF_int
#
0237-233_kpec09.DAT	0	267	259	2783.03	10.7453	0.01	0.0136655	0.0660021	4.53321	354200	0.99708	1.92216	1.99369	14.0097	109.966	7201.35	115.568	1.02023	8.15002	7201.35	0.578913	0.702554	531.517	3.14533	0.0115637	10.683	0.018224	6.65201	0.134961	79.3175	0.00152154	0.669898
0414+0534_YY+cwt+11.DAT	2	160	152	nan	nan	0.01	0	-nan	0.5	-nan	0.5	-nan	0.01	-nan	-nan	-nan	-nan	-nan	-nan	-nan	2	-nan	1025.9	0	0	0	0	0	0	0	0	0
0809+483_bdv01.DAT	2	95	87	nan	nan	0.01	0	-nan	0.5	-nan	0.5	-nan	0.01	-nan	-nan	-nan	-nan	-nan	-nan	-nan	2	-nan	987.382	0	0	0	0	0	0	0	0	0
1127-145_lsb+98.DAT	0	651	643	2090.63	3.25138	0.01	0.170441	0.0314872	0.0779699	0.0440237	0.0507614	0.00460765	0.00022731	0.00282186	288.086	13.1796	267.815	43.0619	38.1995	5.52759	2.29813	2.85451	1082.02	0.000406763	0.122156	0.00334154	0.203264	0.00102542	0.351249	0.00247311	0.045894	0.000231419
1243-072_lb01.DAT	2	607	599	nan	nan	0.01	0	-nan	0.5	-nan	0.5	-nan	0.01	-nan	-nan	-nan	-nan	-nan	-nan	-nan	2	-nan	-20.1	0	0	0	0	0	0	0	0	0
1430-kpec09.DAT	0	348	343	2.28785	0.00667011	0.01	0.00244102	0.0014724	0.037812	0.105724	0.998731	13.6773	0	0	187.245	19.5187	0.1	0	42.639	19.9076	0	0	610.553	0.0177266	0.0767504	0.035824	0.0914569	0.0475322	0.002441	0.00147193	0.000187348	0.000100566
1629+12_kc02.DAT	1	285	280	88.7371	0.316918	0.01	2.16478	11.0165	0.0494075	0.00490504	0.00711004	0.00496466	0	0	40.0739	174.324	0.1	0	-79.4699	177.726	0	0	927.297	0.00153277	0.0565227	0.00243583	0.0983842	0.00325836	0.074259	0.00202878	0.00487693	0.000130911
1830-211_cdn99.DAT	0	42	34	322.249	9.4779	0.01	0.0254022	0.0546774	0.513774	0.0846218	0.296885	0.22352	1.99406	4.93444	21.1146	1.33446	25.4069	0.540021	5.52195	1.14007	1.11912	0.372933	-72.1082	2.99224	217.69	4.09084	324.537	3.86375	0.493466	0.00631707	116.354	1.49697
2003-025_kpec09.DAT	0	196	188	13.7764	0.0732789	0.01	0.0130615	0.0228422	0.24535	0.258007	0.185664	0.162916	0.158152	1.90492	60.1689	1.82589	63.3114	3.6696	11.4418	2.90639	0.587136	3.69698	589.129	0.0106459	0.164039	0.0239914	0.203811	0.0283942	0.0200271	0.00460409	0.00303341	0.000430409
2351+456_dgh+04.DAT	0	23	15	49.1381	3.27587	0.01	0.179622	0.397286	1.59914	0.208566	1.24455	0.462728	0.861923	3.75303	9.31585	0.104415	11.0014	0.514232	2.65917	0.176354	0.713468	1.02059	10.2379	1.29885	60.6552	3.19068	93.4005	1.43407	0.541377	0.0133083	33.6865	1.25415
J1431+3952_ekp+12.DAT	0	185	180	71.2015	0.395564	0.01	0.0226561	0.00209001	0.384742	0.341006	0.267845	0.199941	0	0	108.907	0.881712	0.1	0	15.9571	0.952435	0	0	886.73	0.00260583	0.0925512	0.00552259	0.103485	0.00780992	0.0226561	0.00209001	0.00209685	0.00018566
SPEC_J0041S.DAT	0	495	490	2.5444e-05	5.19266e-08	0.01	2.43323e-05	0.787169	0.431673	2929.32	0.311605	3542.55	0	0	235.441	17530	0.1	0	1.06546	56642.8	0	0	1395.72	16.1392	0.037416	31.1023	0.0577962	35.6943	1.23179e-05	0.00728967	4.94638e-07	0.000291571
SPEC_J0849_2.DAT	0	512	504	0.00042551	8.44267e-07	0.01	4.0932e-06	0.00617613	0.818051	1546.37	0.693847	2274.77	0.0335779	449.722	237.067	2866.29	237.861	3463.48	4.66725	4481.44	3.14805	9285.84	1082.59	14.0606	0.0250555	18.6021	0.0958644	22.36	1.81797e-05	0.00867939	7.79776e-07	0.00030762
SPEC_J0921+6215.DAT	0	512	504	0.000550833	1.09292e-06	0.01	1.62804e-05	3.47116	5.22283	1.959e+12	4.73245	1.53587e+12	0.497066	111538	257.125	4.74945e+10	254.781	422370	3.86909	4.8345e+10	0.986447	4431.3	675.225	1.76582e+08	0.0178606	1.85828e+08	0.0321868	3.31358e+08	6.19978e-05	673345	1.1756e-06	11035.7
