,Filename,A,B_1,B_2,C,XE_0,XP_0,W,N,X,W_50,W_20,F_peak,F_int
0,0003+380_ak18.DAT,37.9489,0.15657,0.302827,0.0,17.9287,0.1,4.03735,0.0,-46.47,0.0,0.0,29.8969,0.0
1,0035+22_omd+17.DAT,0.00457092,3.53963,3.55249,0.381986,43.2115,45.0276,3.38236,0.972353,425.947,168.537,183.43,0.0122894,1.45561
2,0941-08_omd+17.DAT,0.0463615,0.37695,18.4777,0.0,29.776,0.1,5.01411,0.0,-500.743,273.118,319.879,0.0463615,12.6791
3,101301.DAT,4.57969,5.70148,0.23904,0.0,86.1625,0.1,32.1168,0.0,-500.48,674.371,702.069,4.57969,3088.79
4,1045+35A_adi.DAT,1723.55,0.00688587,0.190566,0.0,246.976,0.1,-116.434,0.0,-27.13,0.0,0.0,16.3468,0.0
5,1142+052_kpec09.dat,3.27768,0.0710247,0.120766,0.0230955,210.771,197.012,71.1431,0.863879,-8.17944,77.1485,84.7944,6.23575,383.954
6,1200+045_ak17.DAT,6.64657,0.640142,0.0498175,0.192214,14.2546,20.7513,3.36553,1.30435,-2092.83,18.3017,97.804,15.8865,682.17
7,1245-197_ak17.DAT,687.056,0.138828,0.154096,0.00102309,36.5802,38.426,-2.9149,4.22138,-6.1649,100.734,204.462,163.077,21341.4
8,1504+377_cmr+98.DAT,0.0776302,0.317981,0.297586,3667.36,82.5356,81.537,4.59246,0.301217,333.822,83.1436,110.167,341.233,26066.3
9,J01465-0157_adi19.DAT,41.3746,0.0509544,0.0261152,0.0,59.2837,0.1,10.4587,0.0,39.73,0.0,0.0,21.0081,0.0
10,SPEC_J0919+0146.DAT,0.00482049,0.0345664,0.0212314,0.0156581,276.702,268.999,8.81855,0.945547,-2.49103,130.135,198.738,0.00238013,0.32455
11,SPEC_J1521+5508.DAT,0.00778927,0.692495,0.076481,0.00420281,255.258,262.363,-0.880585,3.16597,-2.5067,8.36679,44.272,0.00449561,0.0845638
12,J075756.71+395936.1_spec.txt,0.00655138,0.340817,0.119726,0.0,90.8445,0.1,1.85452,0.0,-0.739521,148.934,239.125,0.00337406,0.550101
13,J080601.51+190614.7_spec.txt,137668000.0,0.194235,0.0175327,0.0,-33.1694,0.1,-129.532,0.0,132.874,219.478,364.742,0.0047415,1.19253
14,J080938.88+345537.2_spec.txt,0.00185636,0.634579,0.602881,0.0,25.5941,0.1,2.08962,0.0,-1813.97,77.068,109.732,0.00173255,0.136888
15,J082133.60+470237.3_spec.txt,0.0121685,4.93272,4.61808,0.0,129.971,0.1,0.999809,0.0,-207.418,37.1535,42.5263,0.0121685,0.451957
16,J083548.14+151717.0_spec.txt,0.00396251,0.543343,1.99126,3.57439e-09,114.718,113.043,1.2868,18.3879,-267.959,19.526,73.6132,0.00923536,0.43154
17,J083637.84+440109.6_spec.txt,0.000350755,1.63063,0.377462,0.29946,168.393,163.278,9.59927,1.12769,760.135,184.999,373.869,0.00192846,0.407757
18,J084307.11+453742.8_spec.txt,0.115693,0.390261,0.539441,0.0246481,129.947,131.991,1.29758,0.660928,35.4789,78.6828,121.14,0.0768997,6.47107
19,J090325.54+162256.0_spec.txt,0.000875998,0.695879,0.444019,2.43244,128.678,129.213,1.77409,1.77623,16.858,114.856,159.543,0.00509269,0.417111
20,J090734.91+325722.9_spec.txt,0.0172922,0.535196,0.473442,0.0321458,128.756,122.997,2.15781,0.68959,16.8418,82.0887,120.055,0.0168129,1.43252
21,J090937.44+192808.2_spec.txt,0.00152191,0.431025,3.24146,0.0393985,129.895,130.5,2.08559,3.55821,1.70431,119.897,140.482,0.00210616,0.212945
22,J093551.59+612111.3_spec.txt,0.0117245,0.0455085,0.100731,0.0,90.7364,0.1,11.6499,0.0,-73.8755,519.933,800.398,0.00869914,4.81491
23,J102053.67+483124.3_spec.txt,0.00158208,0.893463,0.840654,0.0525699,90.0199,85.9803,3.89501,1.46184,-53.8369,125.534,155.688,0.00274032,0.311855
24,J102400.53+511248.1_spec.txt,2485.31,0.0258352,0.765911,0.0,179.865,0.1,-62.8695,0.0,-320.438,119.897,232.662,0.0039497,0.600827
25,J102544.22+102230.4_spec.txt,0.0148286,0.850547,2.81121,0.0,127.073,0.1,1.86489,0.0,-14.9537,64.2796,80.2756,0.0148214,0.953453
26,J103932.12+461205.3_spec.txt,0.00730954,0.541871,0.576498,0.0,128.603,0.1,1.50726,0.0,13.9077,72.6199,109.099,0.00570125,0.435849
27,J105327.25+205835.9_spec.txt,0.13361,6.54841,1.79884,0.0521824,132.455,132.488,1.83687,4.11228,80.7565,66.1225,74.9417,0.184788,9.86789
28,J110017.98+100256.8_spec.txt,424729.0,0.272434,0.133882,0.0308866,115.157,123.349,-14.812,3.43083,-7.02763,90.5936,175.829,0.0566739,6.55663
29,J111113.19+284147.0_spec.txt,0.00497188,0.107398,0.755273,0.0,133.468,0.1,3.03452,0.0,51.1652,145.461,236.84,0.003585,0.567081
30,J111916.54+623925.7_spec.txt,74345200.0,0.416989,0.0598612,0.0,85.9598,0.1,-36.6235,0.0,-91.9575,90.352,143.631,0.0105299,1.05339
31,J112030.04+273610.7_spec.txt,0.0269173,0.618032,0.845113,0.0,123.622,0.1,1.55567,0.0,-79.5368,62.1141,90.6822,0.0239174,1.53891
32,J112332.04+235047.8_spec.txt,0.00154039,0.875818,0.680919,6.21418e-05,32.4475,32.9752,1.55031,10.9962,-1906.53,33.0041,180.027,0.00378397,0.252572
33,J120231.12+163741.8_spec.txt,0.00443449,0.0872331,0.0898495,2.77342e-13,120.788,121.204,14.0717,9.473,-185.757,1321.52,1521.57,0.00409477,4.00691
34,J120551.46+203119.0_spec.txt,0.000886187,6.33144,0.921177,0.0,115.143,0.1,1.07547,0.0,360.03,36.4724,49.6098,0.000877003,0.0322644
35,J120855.60+464113.8_spec.txt,0.00279485,0.503428,1.06471,0.0,130.264,0.1,1.1799,0.0,43.7163,53.0162,80.9579,0.0021736,0.121971
36,J122513.09+321401.6_spec.txt,0.00216321,0.621117,1.35816,0.0704826,139.846,140.678,2.19545,3.92252,175.566,49.7242,118.998,0.00776946,0.505838
37,J123200.55+331747.6_spec.txt,0.000865954,0.878782,0.473975,0.733693,91.1049,91.4097,2.87026,1.74958,-39.9882,132.813,164.989,0.00323876,0.300553
38,J123905.13+174457.5_spec.txt,0.00209673,1.13666,0.71256,0.0435447,130.453,133.028,2.15134,1.1396,45.1154,73.9653,98.8365,0.00241993,0.17924
39,J124707.32+490017.9_spec.txt,0.029454,0.244481,0.0870103,0.215848,69.0763,75.6248,-6.94615,1.80459,-262.957,290.343,404.363,0.00157034,0.400277
40,J125433.26+185602.2_spec.txt,0.00102639,1.5911,0.0163406,20.8681,32.6537,32.1167,-0.838722,2.11605,11.5483,1230.05,1825.49,10.3986,13299.1
41,J130125.26+291849.5_spec.txt,0.000244013,0.616037,1.38579,1.24474,134.618,137.667,7.52677,0.823325,83.7312,251.161,278.972,0.00194312,0.314953
42,J130132.61+463402.7_spec.txt,0.00115723,0.725933,4.15768,0.000435705,72.2872,71.5113,1.66841,8.69797,-412.696,61.0753,83.7173,0.00150276,0.0879063
43,J130556.95+395621.5_spec.txt,0.0584591,6.72666,0.610063,6.16298,53.7748,54.6829,-0.994612,4.98303,-1353.67,29.5584,56.3135,0.00482093,0.165883
44,J131535.10+620728.4_spec.txt,0.00377972,0.68277,0.125035,0.0498308,127.06,130.949,-1.00937,3.41461,147.11,273.816,331.085,0.00265139,0.519862
45,J131739.20+411545.6_spec.txt,577961000.0,0.0193351,0.399955,0.0,224.199,0.1,-121.404,0.0,76.4591,133.543,240.263,0.00552508,0.893603
46,J132035.40+340821.7_spec.txt,0.016202,0.182825,0.120196,0.0,95.2111,0.1,7.07418,0.0,40.9388,266.901,394.134,0.013966,3.88381
47,J132513.37+395553.2_spec.txt,0.00140616,0.797129,0.0225892,0.0,94.0237,0.1,10.1478,0.0,260.669,565.215,968.371,0.00100386,0.627765
48,J133455.94+134431.7_spec.txt,0.0035473,1.45735,0.880106,0.245278,121.49,119.997,2.05034,1.1226,-101.368,68.9234,89.861,0.00541721,0.356287
49,J133817.24+481629.7_spec.txt,0.00107056,0.466281,2.89725,0.00525232,137.642,138.079,4.2445,4.17781,132.058,184.86,204.955,0.00240741,0.301273
50,J134035.20+444817.3_spec.txt,1.43786e-05,1.36993,4.40274,289.108,90.8461,89.5504,2.09787,0.873191,-12.6761,36.1812,54.3994,0.0108424,0.420607
51,J134111.14+302241.3_spec.txt,0.00743666,0.21609,0.0731559,0.0,124.611,0.1,-0.967215,0.0,39.0851,195.654,317.038,0.0018687,0.405376
52,J134442.16+555313.5_spec.txt,0.00911892,0.238478,0.305792,0.00534699,99.6335,104.327,16.1175,1.58124,89.7722,559.729,636.897,0.0123666,6.07052
53,J134649.45+142401.7_spec.txt,0.00277532,0.943837,7.45434,0.0,115.73,0.1,1.33014,0.0,-205.971,44.9579,57.1155,0.0027707,0.124218
54,J135217.88+312646.4_spec.txt,0.1021,0.31717,0.463901,9.44383e-06,84.1999,81.8929,4.33825,6.6378,-130.095,99.4826,222.103,0.207654,27.4344
55,J135646.10+102609.0_spec.txt,0.003749,2.70399,1.25292,0.0,137.814,0.1,6.71257,0.0,184.438,248.898,262.054,0.003749,0.933133
56,J135806.05+214021.1_spec.txt,0.00144045,0.755193,0.616093,0.514968,130.515,131.476,2.35372,2.74704,24.0776,44.5183,70.9516,0.0107216,0.623667
57,J142210.81+210554.1_spec.txt,33468800.0,0.0465067,0.357858,0.0,133.197,0.1,-47.7383,0.0,-168.053,115.644,185.197,0.00284442,0.366376
58,J143521.67+505122.9_spec.txt,0.040535,0.585748,0.106421,0.0330155,76.1637,83.0253,-6.06882,3.24363,-70.487,224.005,298.353,0.00107255,0.222168
