# This is the local BusyFit history file in which all fit results are stored.
# In order to delete the history, e.g. prior to a batch run of BusyFit on a
# large number of spectra, simply delete the file; it will be recreated 
# during the next launch of the software. Alternatively, you may choose to 
# remove individual entries from the file. The results of new fits will be 
# appended at the end of the file.
#
# The parameters in the respective columns (separated by tabs) are:
#
# Filename	Success	Nchan	dof	chi^2	chi^2/dof	rms	A	dA	B_1	dB_1	B_2	dB_2	C	dC	XE_0	dXE_0	XP_0	dXP_0	W	dW	N	dN	X	dX	W_50	dW_50	W_20	dW_20	F_peak	dF_peak	F_int	dF_int
#
0003+380_ak18.dat	0	42	37	197.403	5.33522	1.78802	37.9489	20.2968	0.15657	0.0761863	0.302827	0.119447	0	0	17.9287	1.07961	0.1	0	4.03735	2.36449	0	0	-46.47	0	0	0	0	0	29.8969	0.956849	0	0
0003+380_ak18.dat	0	42	37	197.403	5.33522	1.78802	37.9489	20.2968	0.15657	0.0761863	0.302827	0.119447	0	0	17.9287	1.07961	0.1	0	4.03735	2.36449	0	0	-46.47	0	0	0	0	0	29.8969	0.956849	0	0
0003+380_ak18.dat	0	42	37	197.403	5.33522	1.78802	37.9489	20.2968	0.15657	0.0761863	0.302827	0.119447	0	0	17.9287	1.07961	0.1	0	4.03735	2.36449	0	0	-46.47	0	0	0	0	0	29.8969	0.956849	0	0
0003+380_ak18.dat	0	42	37	197.403	5.33522	1.78802	37.9489	20.2968	0.15657	0.0761863	0.302827	0.119447	0	0	17.9287	1.07961	0.1	0	4.03735	2.36449	0	0	-46.47	0	0	0	0	0	29.8969	0.956849	0	0
0003+380_ak18.dat	0	42	37	197.403	5.33522	1.78802	37.9489	20.2968	0.15657	0.0761863	0.302827	0.119447	0	0	17.9287	1.07961	0.1	0	4.03735	2.36449	0	0	-46.47	0	0	0	0	0	29.8969	0.956849	0	0
0035+22_omd+17.dat	0	57	49	175.929	3.5904	0.000787854	0.00457092	0.121128	3.53963	998.636	3.55249	5305.62	0.381986	12.5103	43.2115	305.293	45.0276	64.2917	3.38236	305.393	0.972353	2.89689	425.947	3856.17	168.537	19654	183.43	6829.58	0.0122894	0.0247211	1.45561	55.5357
0035+22_omd+17.dat	0	57	49	175.929	3.5904	0.000787854	0.00457092	0.121128	3.53963	998.636	3.55249	5305.62	0.381986	12.5103	43.2115	305.293	45.0276	64.2917	3.38236	305.393	0.972353	2.89689	425.947	3856.17	168.537	19654	183.43	6829.58	0.0122894	0.0247211	1.45561	55.5357
0035+22_omd+17.dat	0	57	49	175.929	3.5904	0.000787854	0.00457092	0.121128	3.53963	998.636	3.55249	5305.62	0.381986	12.5103	43.2115	305.293	45.0276	64.2917	3.38236	305.393	0.972353	2.89689	425.947	3856.17	168.537	19654	183.43	6829.58	0.0122894	0.0247211	1.45561	55.5357
0035+22_omd+17.dat	0	57	49	175.929	3.5904	0.000787854	0.00457092	0.121128	3.53963	998.636	3.55249	5305.62	0.381986	12.5103	43.2115	305.293	45.0276	64.2917	3.38236	305.393	0.972353	2.89689	425.947	3856.17	168.537	19654	183.43	6829.58	0.0122894	0.0247211	1.45561	55.5357
0035+22_omd+17.dat	0	57	49	175.929	3.5904	0.000787854	0.00457092	0.121128	3.53963	998.636	3.55249	5305.62	0.381986	12.5103	43.2115	305.293	45.0276	64.2917	3.38236	305.393	0.972353	2.89689	425.947	3856.17	168.537	19654	183.43	6829.58	0.0122894	0.0247211	1.45561	55.5357
0202+14_jgs18.dat	0	167	162	2701.78	16.6777	0.00314904	0.00344608	5.30067	1.52588	2669.62	8.83152	6.23822e+10	0	0	154.525	1.80252e+09	0.1	0	0.937725	1.80252e+09	0	0	1051.18	4.89637e+09	20.7903	6.97165e+09	25.9709	4.17912e+09	0.00344347	85198.6	0.071186	3.26296e+07
0202+14_jgs18.dat	0	167	162	2701.78	16.6777	0.00314904	0.00344608	5.30067	1.52588	2669.62	8.83152	6.23822e+10	0	0	154.525	1.80252e+09	0.1	0	0.937725	1.80252e+09	0	0	1051.18	4.89637e+09	20.7903	6.97165e+09	25.9709	4.17912e+09	0.00344347	85198.6	0.071186	3.26296e+07
0202+14_jgs18.dat	0	167	162	2701.78	16.6777	0.00314904	0.00344608	5.30067	1.52588	2669.62	8.83152	6.23822e+10	0	0	154.525	1.80252e+09	0.1	0	0.937725	1.80252e+09	0	0	1051.18	4.89637e+09	20.7903	6.97165e+09	25.9709	4.17912e+09	0.00344347	85198.6	0.071186	3.26296e+07
0202+14_jgs18.dat	0	167	162	2701.78	16.6777	0.00314904	0.00344608	5.30067	1.52588	2669.62	8.83152	6.23822e+10	0	0	154.525	1.80252e+09	0.1	0	0.937725	1.80252e+09	0	0	1051.18	4.89637e+09	20.7903	6.97165e+09	25.9709	4.17912e+09	0.00344347	85198.6	0.071186	3.26296e+07
