freq[0] = -694.600 MHz or km/s    freq_z[0] = 757.284   z[0] = 0.876  flux[0] = 0.010 Jy
freq[1] = -669.700 MHz or km/s    freq_z[1] = 757.222   z[1] = 0.876  flux[1] = 0.019 Jy
freq[2] = -638.700 MHz or km/s    freq_z[2] = 757.143   z[2] = 0.876  flux[2] = 0.012 Jy
freq[3] = -610.700 MHz or km/s    freq_z[3] = 757.073   z[3] = 0.876  flux[3] = 0.002 Jy
freq[4] = -576.600 MHz or km/s    freq_z[4] = 756.987   z[4] = 0.876  flux[4] = -0.007 Jy
freq[5] = -545.500 MHz or km/s    freq_z[5] = 756.909   z[5] = 0.877  flux[5] = -0.031 Jy
freq[6] = -512.400 MHz or km/s    freq_z[6] = 756.825   z[6] = 0.877  flux[6] = -0.025 Jy
freq[7] = -451.300 MHz or km/s    freq_z[7] = 756.672   z[7] = 0.877  flux[7] = 0.007 Jy
freq[8] = -425.400 MHz or km/s    freq_z[8] = 756.606   z[8] = 0.877  flux[8] = 0.005 Jy
freq[9] = -391.300 MHz or km/s    freq_z[9] = 756.520   z[9] = 0.878  flux[9] = 0.007 Jy
freq[10] = -359.200 MHz or km/s    freq_z[10] = 756.440   z[10] = 0.878  flux[10] = -0.014 Jy
freq[11] = -328.100 MHz or km/s    freq_z[11] = 756.361   z[11] = 0.878  flux[11] = -0.038 Jy
freq[12] = -295.000 MHz or km/s    freq_z[12] = 756.278   z[12] = 0.878  flux[12] = -0.027 Jy
freq[13] = -265.000 MHz or km/s    freq_z[13] = 756.202   z[13] = 0.878  flux[13] = -0.034 Jy
freq[14] = -233.900 MHz or km/s    freq_z[14] = 756.124   z[14] = 0.879  flux[14] = -0.105 Jy
freq[15] = -201.800 MHz or km/s    freq_z[15] = 756.043   z[15] = 0.879  flux[15] = -0.233 Jy
freq[16] = -172.800 MHz or km/s    freq_z[16] = 755.970   z[16] = 0.879  flux[16] = -0.387 Jy
freq[17] = -140.700 MHz or km/s    freq_z[17] = 755.889   z[17] = 0.879  flux[17] = -0.505 Jy
freq[18] = -108.600 MHz or km/s    freq_z[18] = 755.808   z[18] = 0.879  flux[18] = -0.496 Jy
freq[19] = -76.600 MHz or km/s    freq_z[19] = 755.728   z[19] = 0.880  flux[19] = -0.407 Jy
freq[20] = -43.470 MHz or km/s    freq_z[20] = 755.644   z[20] = 0.880  flux[20] = -0.331 Jy
freq[21] = -13.450 MHz or km/s    freq_z[21] = 755.569   z[21] = 0.880  flux[21] = -0.292 Jy
freq[22] = 16.560 MHz or km/s    freq_z[22] = 755.493   z[22] = 0.880  flux[22] = -0.259 Jy
freq[23] = 46.580 MHz or km/s    freq_z[23] = 755.418   z[23] = 0.880  flux[23] = -0.164 Jy
freq[24] = 79.710 MHz or km/s    freq_z[24] = 755.334   z[24] = 0.880  flux[24] = -0.059 Jy
freq[25] = 105.500 MHz or km/s    freq_z[25] = 755.269   z[25] = 0.881  flux[25] = -0.023 Jy
freq[26] = 139.700 MHz or km/s    freq_z[26] = 755.183   z[26] = 0.881  flux[26] = -0.036 Jy
freq[27] = 166.600 MHz or km/s    freq_z[27] = 755.115   z[27] = 0.881  flux[27] = -0.036 Jy
freq[28] = 200.800 MHz or km/s    freq_z[28] = 755.029   z[28] = 0.881  flux[28] = -0.040 Jy
freq[29] = 233.900 MHz or km/s    freq_z[29] = 754.946   z[29] = 0.881  flux[29] = -0.054 Jy
freq[30] = 265.000 MHz or km/s    freq_z[30] = 754.868   z[30] = 0.882  flux[30] = -0.031 Jy
freq[31] = 296.000 MHz or km/s    freq_z[31] = 754.789   z[31] = 0.882  flux[31] = -0.007 Jy
freq[32] = 326.000 MHz or km/s    freq_z[32] = 754.714   z[32] = 0.882  flux[32] = 0.002 Jy
freq[33] = 355.000 MHz or km/s    freq_z[33] = 754.641   z[33] = 0.882  flux[33] = -0.003 Jy
freq[34] = 389.200 MHz or km/s    freq_z[34] = 754.555   z[34] = 0.882  flux[34] = 0.002 Jy
freq[35] = 421.300 MHz or km/s    freq_z[35] = 754.474   z[35] = 0.883  flux[35] = 0.005 Jy
freq[36] = 479.200 MHz or km/s    freq_z[36] = 754.328   z[36] = 0.883  flux[36] = 0.018 Jy
freq[37] = 513.400 MHz or km/s    freq_z[37] = 754.242   z[37] = 0.883  flux[37] = 0.020 Jy
freq[38] = 542.400 MHz or km/s    freq_z[38] = 754.169   z[38] = 0.883  flux[38] = -0.007 Jy
freq[39] = 606.600 MHz or km/s    freq_z[39] = 754.007   z[39] = 0.884  flux[39] = 0.010 Jy
freq[40] = 636.600 MHz or km/s    freq_z[40] = 753.932   z[40] = 0.884  flux[40] = -0.052 Jy
freq[41] = 667.700 MHz or km/s    freq_z[41] = 753.853   z[41] = 0.884  flux[41] = -0.137 Jy
