# This is the local BusyFit history file in which all fit results are stored.
# In order to delete the history, e.g. prior to a batch run of BusyFit on a
# large number of spectra, simply delete the file; it will be recreated 
# during the next launch of the software. Alternatively, you may choose to 
# remove individual entries from the file. The results of new fits will be 
# appended at the end of the file.
#
# The parameters in the respective columns (separated by tabs) are:
#
# Filename	Success	Nchan	dof	chi^2	chi^2/dof	rms	A	dA	B_1	dB_1	B_2	dB_2	C	dC	XE_0	dXE_0	XP_0	dXP_0	W	dW	N	dN	X	dX	W_50	dW_50	W_20	dW_20	F_peak	dF_peak	F_int	dF_int
#
0131-36_emo+08.dat	0	251	243	333.886	1.37402	0.947863	3.41953	1.54367	0.220884	0.0754869	0.448283	0.372472	0.135515	0.328597	130.411	1.40071	135.223	2.103	7.71962	1.30453	1.0824	1.04677	8930.72	1.44574	52.4658	5.3813	79.1955	3.59572	7.28641	0.447198	396.691	19.2029
0131-36_emo+08.dat	0	251	243	333.886	1.37402	0.947863	3.41953	1.54367	0.220884	0.0754869	0.448283	0.372472	0.135515	0.328597	130.411	1.40071	135.223	2.103	7.71962	1.30453	1.0824	1.04677	8930.72	1.44574	52.4658	5.3813	79.1955	3.59572	7.28641	0.447198	396.691	19.2029
0131-36_emo+08.dat	0	251	243	333.886	1.37402	0.947863	3.41953	1.54367	0.220884	0.0754869	0.448283	0.372472	0.135515	0.328597	130.411	1.40071	135.223	2.103	7.71962	1.30453	1.0824	1.04677	8930.72	1.44574	52.4658	5.3813	79.1955	3.59572	7.28641	0.447198	396.691	19.2029
0131-36_emo+08.dat	0	251	243	333.886	1.37402	0.947863	3.41953	1.54367	0.220884	0.0754869	0.448283	0.372472	0.135515	0.328597	130.411	1.40071	135.223	2.103	7.71962	1.30453	1.0824	1.04677	8930.72	1.44574	52.4658	5.3813	79.1955	3.59572	7.28641	0.447198	396.691	19.2029
0131-36_emo+08.dat	0	251	243	333.886	1.37402	0.947863	3.41953	1.54367	0.220884	0.0754869	0.448283	0.372472	0.135515	0.328597	130.411	1.40071	135.223	2.103	7.71962	1.30453	1.0824	1.04677	8930.72	1.44574	52.4658	5.3813	79.1955	3.59572	7.28641	0.447198	396.691	19.2029
0237-233_kpec09.dat	0	267	259	287.03	1.10823	31.1383	13.675	65.9862	4.53279	353191	0.997272	1.92277	1.99168	13.9867	109.966	7181.87	115.568	1.02043	8.15004	7181.87	0.579008	0.70262	531.517	9.76765	0.0115636	33.1801	0.018224	20.6576	134.961	246378	1.52154	2080.33
0237-233_kpec09.dat	0	267	259	287.03	1.10823	31.1383	13.675	65.9862	4.53279	353191	0.997272	1.92277	1.99168	13.9867	109.966	7181.87	115.568	1.02043	8.15004	7181.87	0.579008	0.70262	531.517	9.76765	0.0115636	33.1801	0.018224	20.6576	134.961	246378	1.52154	2080.33
0237-233_kpec09.dat	0	267	259	287.03	1.10823	31.1383	13.675	65.9862	4.53279	353191	0.997272	1.92277	1.99168	13.9867	109.966	7181.87	115.568	1.02043	8.15004	7181.87	0.579008	0.70262	531.517	9.76765	0.0115636	33.1801	0.018224	20.6576	134.961	246378	1.52154	2080.33
0237-233_kpec09.dat	0	267	259	287.03	1.10823	31.1383	13.675	65.9862	4.53279	353191	0.997272	1.92277	1.99168	13.9867	109.966	7181.87	115.568	1.02043	8.15004	7181.87	0.579008	0.70262	531.517	9.76765	0.0115636	33.1801	0.018224	20.6576	134.961	246378	1.52154	2080.33
0237-233_kpec09.dat	0	267	259	287.03	1.10823	31.1383	13.675	65.9862	4.53279	353191	0.997272	1.92277	1.99168	13.9867	109.966	7181.87	115.568	1.02043	8.15004	7181.87	0.579008	0.70262	531.517	9.76765	0.0115636	33.1801	0.018224	20.6576	134.961	246378	1.52154	2080.33
