#      nu1       flav
#
1080.670690 0.005710 
1080.678830 0.004831 
1080.686970 0.004544 
1080.695110 0.001272 
1080.703250 0.001618 
1080.711380 0.000358 
1080.719520 0.002265 
1080.727660 -0.001945 
1080.735800 -0.000690 
1080.743940 -0.000693 
1080.752070 -0.000856 
1080.760210 -0.002241 
1080.768350 0.000752 
1080.776490 -0.001050 
1080.784630 -0.000516 
1080.792760 -0.001193 
1080.800900 -0.001045 
1080.809040 0.000548 
1080.817180 -0.001502 
1080.825320 0.000403 
1080.833450 0.000822 
1080.841590 -0.001258 
1080.849730 0.001244 
1080.857870 0.002137 
1080.866010 0.000641 
1080.874140 -0.000610 
1080.882280 0.001019 
1080.890420 -0.002673 
1080.898560 -0.002531 
1080.906700 0.002658 
1080.914830 0.000081 
1080.922970 -0.000729 
1080.931110 0.000741 
1080.939250 0.000373 
1080.947390 -0.001475 
1080.955520 0.001292 
1080.963660 0.000010 
1080.971800 0.001599 
1080.979940 -0.000082 
1080.988080 0.000654 
1080.996210 -0.000118 
1081.004350 0.002144 
1081.012490 -0.001199 
1081.020630 -0.000418 
1081.028770 0.000172 
1081.036900 -0.000178 
1081.045040 0.001374 
1081.053180 0.001185 
1081.061320 -0.000587 
1081.069460 -0.003006 
1081.077590 0.000834 
1081.085730 -0.001401 
1081.093870 -0.000784 
1081.102010 0.000408 
1081.110150 0.000280 
1081.118280 -0.000975 
1081.126420 -0.000547 
1081.134560 -0.001765 
1081.142700 0.002348 
1081.150840 -0.000182 
1081.158970 -0.000248 
1081.167110 -0.002193 
1081.175250 0.001270 
1081.183390 -0.000953 
1081.191530 -0.001566 
1081.199660 -0.003891 
1081.207800 -0.000873 
1081.215940 0.000078 
1081.224080 -0.000595 
1081.232220 -0.000984 
1081.240350 0.002473 
1081.248490 -0.001760 
1081.256630 -0.000381 
1081.264770 0.000552 
1081.272910 0.001837 
1081.281040 0.001222 
1081.289180 0.000826 
1081.297320 -0.000838 
1081.305460 -0.000803 
1081.313600 0.001419 
1081.321730 -0.001569 
1081.329870 -0.001300 
1081.338010 -0.000752 
1081.346150 -0.001666 
1081.354290 -0.003076 
1081.362420 0.000237 
1081.370560 -0.000348 
1081.378700 0.003115 
1081.386840 0.000390 
1081.394980 -0.002452 
1081.403110 0.000815 
1081.411250 -0.001158 
1081.419390 0.000078 
1081.427530 0.000871 
1081.435670 0.000445 
1081.443800 0.000703 
1081.451940 -0.000411 
1081.460080 0.004333 
1081.468220 0.005800 
1081.476360 0.002203 
1081.484500 0.004707 
1081.492630 0.005710 
1081.500770 0.002610 
1081.508910 0.002352 
1081.517050 0.004179 
1081.525190 0.002604 
1081.533320 0.000851 
1081.541460 0.004346 
1081.549600 -0.000382 
1081.557740 0.000781 
1081.565880 -0.001835 
1081.574010 0.000480 
1081.582150 -0.000293 
1081.590290 -0.000771 
1081.598430 -0.001083 
1081.606570 -0.002151 
1081.614700 -0.002509 
1081.622840 0.000340 
1081.630980 -0.001906 
1081.639120 0.001212 
1081.647260 -0.001199 
1081.655390 -0.000496 
1081.663530 -0.003768 
1081.671670 -0.000452 
1081.679810 -0.002733 
1081.687950 -0.002809 
1081.696080 0.000608 
1081.704220 -0.001364 
1081.712360 0.000701 
1081.720500 -0.000731 
1081.728640 -0.001271 
1081.736770 -0.001394 
1081.744910 -0.001371 
1081.753050 -0.003108 
1081.761190 -0.000355 
1081.769330 -0.000145 
1081.777460 -0.001474 
1081.785600 -0.001169 
1081.793740 0.001047 
1081.801880 -0.000070 
1081.810020 -0.000384 
1081.818150 0.000782 
1081.826290 -0.000262 
1081.834430 0.000116 
1081.842570 -0.001969 
1081.850710 0.000011 
1081.858840 -0.000731 
1081.866980 0.000487 
1081.875120 -0.000251 
1081.883260 0.000529 
1081.891400 -0.000596 
1081.899530 0.000308 
1081.907670 -0.000704 
1081.915810 -0.000299 
1081.923950 0.000039 
1081.932090 0.000641 
1081.940220 0.003270 
1081.948360 -0.002276 
1081.956500 -0.000301 
1081.964640 -0.001365 
1081.972780 -0.001698 
1081.980910 -0.001547 
1081.989050 -0.000713 
1081.997190 -0.000281 
1082.005330 0.004066 
1082.013470 -0.001773 
1082.021600 0.003718 
1082.029740 0.006596 
1082.037880 -0.001462 
1082.046020 -0.001919 
1082.054160 -0.000811 
1082.062290 0.002387 
1082.070430 0.002388 
1082.078570 -0.001991 
1082.086710 -0.000447 
1082.094850 -0.000288 
1082.102980 0.001587 
1082.111120 -0.001662 
1082.119260 -0.000143 
1082.127400 0.000212 
1082.135540 0.000140 
1082.143670 -0.000917 
1082.151810 0.002406 
1082.159950 0.000955 
1082.168090 -0.001800 
1082.176230 -0.003513 
1082.184360 -0.000607 
1082.192500 -0.000196 
1082.200640 0.000018 
1082.208780 -0.001451 
1082.216920 0.000129 
1082.225050 0.000738 
1082.233190 -0.000889 
1082.241330 0.000562 
1082.249470 -0.003219 
1082.257610 -0.002299 
1082.265750 -0.001978 
1082.273880 -0.001715 
1082.282020 -0.001388 
1082.290160 0.000036 
1082.298300 0.001241 
1082.306440 -0.001790 
1082.314570 -0.000027 
1082.322710 -0.002531 
1082.330850 -0.002589 
1082.338990 0.001305 
1082.347130 0.003023 
1082.355260 0.000270 
1082.363400 -0.001520 
1082.371540 -0.001290 
1082.379680 -0.002370 
1082.387820 0.000249 
1082.395950 -0.000053 
1082.404090 0.001916 
1082.412230 -0.000776 
1082.420370 0.002256 
1082.428510 -0.000751 
1082.436640 -0.000747 
1082.444780 0.000176 
1082.452920 -0.000923 
1082.461060 0.001150 
