0738+313   0.635   0.0912	Y (GMRT)
0738+313   0.635   0.2212	Y (GMRT)
0952+179   1.472   0.2378	Y (GMRT)
1127-145   1.184   0.3127	Y (GMRT)
1229-021   1.043   0.3949	Y (GMRT)
1243-072   1.286   0.4367	Y (GMRT)
0809+483   0.871   0.4370	Resolved spectra.
0235+164   0.940   0.5241	Y (GMRT)
0827+243   0.939   0.5247	Y (GMRT)
1629+120   1.792   0.5318       Y (GMRT)
1429+400   1.215   0.6039	Y (GBT)
1331+305   0.849   0.6921	Y (GBT, scaled to 1)
2351+456   1.992   0.7795	Y (GMRT)
2355-106   1.639   1.1727	Y (GMRT)
0801+303   1.451   1.1908	Y (GMRT)
1621+074   1.648   1.3367	Y (GMRT)
1142+052   1.345   1.3431	Y (GMRT)
2337-011   2.085   1.3606	Y (GMRT)
0105-008   1.374   1.3708	Y (GMRT)
2003-025   1.457   1.4106	Y (GMRT)
0458-020   2.286   1.5605	Y (GBT)
0237-233   2.223   1.6724	Y (GBT)
1331+170   2.084   1.7763	Y (Arecibo)
1157+014   2.000   1.9436	Y (GBT)
1755+578   2.110   1.9698	Y (GMRT)
1850+402   2.120   1.9888	Y (GMRT)
0458-020   2.286   2.0394	Y (GBT)
2039+187   3.056   2.1920	Y (GBT)
0311+430   2.870   2.2890	Y (GMRT)
0438-436   2.863   2.3474	Y (GBT)
0201+113   3.639   3.3875	Y (GMRT)
# Lensed systems
0218+357   0.944   0.6847
0132-097   2.225   0.7645
1830-210   2.507   0.8858

