# J2000                 RA         Dec         z            S_cont[mJy]          Radio_Power[log(W/Hz)]   Detection   Compact_0_Extended_1   WISE_type_[0_12_1_dp_2_46]   RMS_[mJy]             3*RMS_[tau]             tau_[-]                 tau_dv[kms]      w50_[km/s]           dw50_[km/s]          w20_[km/s]           dw20_[km/s]          cen_[km/s]            dcen_[km/s]           peak_pos_[km/s]       Rmag_[SDSS]   e_Rmag_[SDSS]   Zmag_[SDSS]   e_Zmag_[SDSS]   Kmag_[2MASS]   e_Kmag_[2MASS]   W1mag_[WISE]   e_W1mag_[WISE]   W2mag_[WISE]   e_W2mag_[WISE]   W3mag_[WISE]   e_W3mag_[WISE]   W4mag_[WISE]   e_W4mag_[WISE]   FIRST_peak[mJy]      FIRST_integr[mJy]   
  J075157.32+522309.2   07:51:57   +52:23:09   0.1887022    68.468183279         24.839519837860784       0.0         0.0                    0.0                          0.8230000138282776    0.036279024631          ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    20.386919     0.02926956      19.476553     0.067496836     14.061         0.064            15.995         0.068            14.701         0.076            11.552         0.171            8.649          ""               45.439998626708984   45.65116            
  J075244.19+455657.4   07:52:44   +45:56:57   0.05169472   55.5426590145        23.54600648836095        0.0         1.0                    2.0                          0.6169999837875366    0.0335122192704         ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    14.424078     0.0022230735    13.615051     0.0034578764    12.329         0.035            11.264         0.023            10.827         0.022            8.595          0.024            6.464          0.058            39.869998931884766   50.15449            
  J075555.12+420756.7   07:55:55   +42:07:57   0.1499735    57.5572326779        24.54409137107285        0.0         1.0                    2.0                          1.8600000143051147    0.098548021842          ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    18.137617     0.009366962     17.294924     0.019462327     15.153         0.139            14.773         0.035            14.593         0.072            12.395         0.396            8.499          ""               44.689998626708984   62.95216            
  J075607.06+383401.0   07:56:07   +38:34:01   0.215605     70.18000030517578    24.97965917235079        0.0         0.0                    1.0                          0.9397305829359902    0.041000001132488216    ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    16.968111     0.0065964153    16.085196     0.017572239     14.563         0.118            14.118         0.044            13.858         0.057            12.418         0.455            8.483          0.42             59.81999969482422    63.95000076293945   
  J075648.71+531256.2   07:56:49   +53:12:56   0.08365778   39.151173085         23.83197501085166        0.0         0.0                    1.0                          0.5929999947547913    0.0457868871779         ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    15.586472     0.002946493     14.798854     0.005374987     13.433         0.068            12.563         0.023            12.523         0.027            12.259         0.336            9.022          ""               37.68000030517578    38.97862            
  J075756.71+395936.1   07:57:57   +39:59:36   0.065777     91.2699966430664     23.979788980788637       1.0         0.0                    0.0                          0.6166594593333333    0.020477534681185176    0.041999999433755875    5.958371598      122.5199966430664    14.699999809265137   244.67999267578125   15.65999984741211    -22.489999771118164   5.730000019073486     -20.1299991607666     15.4594145    0.002827812     14.772599     0.0054217856    13.603         0.068            12.83          0.024            12.337         0.025            8.766          0.024            5.095          0.028            98.26000213623047    99.19999694824219   
  J075828.10+374711.8   07:58:28   +37:47:12   0.040825     243.0                23.975412509267567       0.0         1.0                    1.0                          0.7257292882957477    0.008999999612569812    ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    12.985612     0.0017034408    12.212498     0.0022716185    12.104         0.072            10.824         0.022            10.777         0.022            9.703          0.042            7.72           0.154            198.58999633789062   225.5               
  J075846.99+270515.6   07:58:47   +27:05:16   0.098745     69.05000305175781    24.231408514194236       0.0         0.0                    0.0                          1.2535076486082113    0.05600000172853464     ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    17.224146     0.005150518     16.441755     0.010226599     14.121         0.068            12.9           0.026            12.262         0.023            9.585          0.04             7.457          0.126            60.68000030517578    63.5                
  J075940.96+505023.9   07:59:41   +50:50:24   0.05436408   42.9148525           23.479460925945258       0.0         0.0                    0.0                          0.5460000038146973    0.0384134901225         ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    15.772059     0.003059473     15.138221     0.005799075     13.295         0.042            12.35          0.026            10.955         0.02             6.695          0.015            3.707          0.017            45.54999923706055    47.60126            
  J080041.98+321727.6   08:00:42   +32:17:28   0.187239     104.0                25.013554777354038       0.0         0.0                    1.0                          0.8220954021196727    0.02400000020861629     ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    16.59406      0.0053613572    15.704725     0.011112089     14.349         0.098            13.445         0.028            13.218         0.033            12.62          ""               8.881          ""               73.7300033569336     91.69000244140625   
