Name_paper_1_2,Name,J2000,Detection,Compact_0_Extended_1,RA,Dec,Ra_degrees,Dec_degrees,z,D_L,S_cont,Radio_Power,FIRST_peak[mJy],FIRST_integr[mJy],FIRST_Ratio,NVSS_major_[degrees],NVSS_minor_[degrees],NVSS_minor_[arcsec],NVSS_major_[arcsec],NVSS_ratio,NVSS_beam_limit_[kpc],WSRT_beam_limit_[kpc],FIRST_beam_limit_[kpc],FIRST_major_dc_[arcsec],FIRST_minor_dc_[arcsec],FIRST_major_dc_[kpc],R_FIRST-R_g,FIRST_minor_dc_[kpc],FIRST_pa_[degrees],W1-W2,W2-W3,W3-W4,eW1-W2,eW2-W3,eW3-W4,W1mag,W2mag,W3mag,W4mag,W4_flux,W4_lum,W4_nuLum,absW1mag,absW2mag,absW3mag,absW4mag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,WISE_type,Kmag_[2MASS],absKmag,e_Kmag_[2MASS],errHalfMaj,errHalfMin,errPosAng,SpObjID,spType,spCl,subClass,deVAB_u,deVAB_g,deVAB_r,deVAB_i,deVAB_z,deVABErr_u,deVABErr_g,deVABErr_r,deVABErr_i,deVABErr_z,i_u_[degrees],i_g_[degrees],i_r_[degrees],i_i_[degrees],i_z_[degrees],deVPhi_u_[degrees],deVPhi_g_[degrees],deVPhi_r_[degrees],deVPhi_i_[degrees],deVPhi_z_[degrees],PA_u-PA_FIRST,PA_g-PA_FIRST,cos_PA_diff,PA_r-PA_FIRST,PA_i-PA_FIRST,PA_z-PA_FIRST,deVRad_u_[arcsec],deVRad_g_[arcsec],deVRad_r_[arcsec],deVRad_i_[arcsec],deVRad_z_[arcsec],deVRad_u_[kpc],deVRad_g_[kpc],deVRad_r_[kpc],deVRad_i_[kpc],deVRad_z_[kpc],deVRadErr_u_[arcsec],deVRadErr_g_[arcsec],deVRadErr_r_[arcsec],deVRadErr_i_[arcsec],deVRadErr_z_[arcsec],RMS_[mJy],3*RMS_[mJy],3*RMS_[tau],tau_[-],tau_dv[kms],NHI,w50_[km/s],dw50_[km/s],w20_[km/s],dw20_[km/s],cen_[km/s],dcen_[km/s],peak_pos_[km/s],NVSS[best_Jy],radclas[best],FIRST[[best_Jy],off_First[best],rad_agn[best],main_samp[best],lerg[best],herg[best],g-r,u-r,g,i,r,abs_R,u,z_old,e_g-r,err_u-r,err_g,err_i,err_r,err_u,err_z,lgm_tot_p50,lgm_fib_p50,sfr_tot_p50,sfr_fib_p50,specsfr_tot_p50,specsfr_fib_p50,lgLOIII,lgRadio
1,18,J075157.32+522309.2,0,0,07:51:57,+52:23:09,117.9875,52.38583333,0.1887022,918.4595614,68.46818328,24.83951984,45.43999863,45.65116,0.9953744577,0.01308333333,0.01288888889,46.4,47.1,1.015086207,148.4258965,94.53878755,17.01698176,0.82,0,2.58406017,2.086360723,0,21.799999,1.2939997,3.1490002,2.9029999,0.1019803904,0.1871283046,"""""",15.995,14.701,11.552,8.649,0.002874979687,2.90E+30,43.59706384,-23.82030031,-25.11429998,-28.26330015,-31.16630003,0.068,0.076,0.171,"""""",0,14.061,-25.75430033,0.064,0.019,0.018,0,4142369463108826112,QSO,QSO,"""""",0.05,0.499909,0.649977,0.062604,0.349962,0,1.465707,0.733082,6.093976,0.87175,87.13401602,60.00602033,49.46013221,86.41070785,87.13401602,75.768265,-21.238495,42.484226,19.755989,-12.651814,53.968266,43.038494,0.5867125023,20.684227,2.04401,34.451813,1.488677,0.157935,0.105346,0.157003,0.248506,4.691257288,0.4976994471,0.3319761038,0.4947624421,0.783115198,2.901789,0.108116,0.057382,0.116064,0.184382,0.8230000138,2.469000101,0.03627902463,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",0.860853,2.363377,21.247772,19.91784,20.386919,-19.4283812,22.750296,19.476553,0.05021780119,0.8149079133,0.040805887,0.030910335,0.02926956,0.3316091,0.067496836,"""""","""""","""""","""""","""""","""""","""""",40.98564787
2,19,J075244.19+455657.4,0,1,07:52:44,+45:56:57,118.1833333,45.94916667,0.05169472,230.0034941,55.54265901,23.54600649,39.86999893,50.15449,0.7949437614,0.02608333333,0.01613888889,58.1,93.9,1.616179002,94.66632232,30.24483141,5.444069654,3.35,2.04,3.377339412,-2.26707503,2.056648498,49.700001,0.43700027,2.2319994,2.131,0.0318276614,0.03255764179,0.06276941718,11.264,10.827,8.595,6.464,0.02150972003,1.36E+30,43.2684126,-25.54467223,-25.9816725,-28.2136719,-30.34467194,0.023,0.022,0.024,0.058,2,12.329,-24.4796717,0.035,0.003,0.003,90,1955720899910985728,GALAXY,GALAXY,AGN,0.929044,0.930508,0.942322,0.947037,0.951798,0.056151,0.007293981,0.006220411,0.00624135,0.010956,21.71372087,21.48585817,19.55476467,18.73094126,21.71372087,120.215714,-48.736237,-58.244675,-47.827667,-50.126793,70.515713,98.436238,0.5002873305,107.944676,97.527668,99.826794,3.690823,5.598723,5.33193,5.593251,4.558064,3.72094398,5.644414442,5.375444132,5.638897785,4.595262575,0.260267,0.049578,0.035261,0.040848,0.063853,0.6169999838,1.850999951,0.03351221927,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",0.576,4,0.0501,0.37,1,1,0,1,0.943162,2.71266,15.36724,13.947131,14.424078,-22.38459417,17.136738,13.615051,0.003414949204,0.1719863339,0.002592262,0.0021750764,0.0022230735,0.0147871785,0.0034578764,"""""","""""","""""","""""","""""","""""","""""",39.69213452
3,21,J075555.12+420756.7,0,1,07:55:55,+42:07:57,118.9791667,42.1325,0.1499735,712.9191095,57.55723268,24.54409137,44.68999863,62.95216,0.709904134,0.01297222222,0.01255555556,45.2,46.7,1.033185841,122.0552145,78.40806069,14.11345092,4.22,2.6,11.02939999,7.290550819,6.79536501,133.5,0.17999935,2.198,3.8960009,0.0800562282,0.4024922365,"""""",14.773,14.593,12.395,8.499,0.003300920078,2.01E+30,43.4370245,-24.49220152,-24.67220087,-26.87020082,-30.76620168,0.035,0.072,0.396,"""""",2,15.153,-24.1122014,0.139,0.008,0.007,0,492098280235231232,SERENDIPITY_FIRST,GALAXY,"""""",0.521565,0.73232,0.755461,0.747099,0.727654,0.731184,0.06398,0.037665,0.035814,0.087147,58.56271273,42.91875792,40.93433275,41.66029468,58.56271273,-21.9627,27.56918,23.776741,22.437031,22.248951,155.4627,105.93082,0.6345808842,109.723259,111.062969,111.251049,2.016687,1.430535,1.194692,1.189626,1.131018,5.270817223,3.73884917,3.122449428,3.10920892,2.956030933,2.893584,0.107284,0.059187,0.05399,0.110673,1.860000014,5.579999924,0.09854802184,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",0.064,1,0.063,0.71,1,0,1,0,1.087441,3.28678,19.225058,17.65708,18.137617,-21.12758428,21.424397,17.294924,0.01792632095,0.5965909319,0.015284404,0.009013557,0.009366962,0.1779165,0.019462327,10.737954,10.369858,-1.4072543,-1.5442888,-12.219412,-11.925842,39.83672347,40.69021941
4,33000,J075607.06+383401.0,0,0,07:56:07,+38:34:01,119.0291667,38.56694444,0.215605,1066.02509,70.18000031,24.97965917,59.81999969,63.95000076,0.9354182796,0.01328012,0.01288027,46.368972,47.808432,1.031043604,167.2098425,104.9249069,18.88648323,1.57,1.25,5.491070309,-35.08070859,4.371871119,177.5,0.26000023,1.4399996,3.9350004,0.07200694503,0.4585564424,0.6192132083,14.118,13.858,12.418,8.483,0.003349923789,4.55E+30,43.79287876,-26.0208371,-26.28083733,-27.72083691,-31.65583733,0.044,0.057,0.455,0.42,1,14.563,-25.57583741,0.118,0.026,0.024,0,612551433778128896,GALAXY,GALAXY,BROADLINE,0.686505,0.608145,0.603706,0.596718,0.63695,1.38827,0.0342,0.015637,0.014807,0.048126,46.64591788,52.54450509,52.864216,53.36479843,46.64591788,24.736095,49.857887,41.367989,39.120731,42.832882,152.763905,127.642113,0.3964167591,136.132011,138.379269,134.667118,1.865703,11.600233,12.456161,11.500478,9.893229,6.525290449,40.5717789,43.56538442,40.2228861,34.60153771,3.533867,0.768291,0.293759,0.310698,0.670561,0.9397305829,2.819191749,0.04100000113,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",0.0627,1,0.064,0.54,1,1,1,0,1.377193,4.225391,18.345304,16.429722,16.968111,-23.17072613,21.193502,16.085196,0.01510414203,0.8149942532,0.013587583,0.0061236704,0.0065964153,0.33208606,0.017572239,11.602289,10.791816,-0.8932983,-0.6807246,-12.534946,-11.546017,40.30103689,41.12578721
5,22,J075648.71+531256.2,0,0,07:56:49,+53:12:56,119.2041667,53.21555556,0.08365778,380.767295,39.15117309,23.83197501,37.68000031,38.97862,0.966683795,0.01297222222,0.01266666667,45.6,46.7,1.024122807,73.41200398,47.1597456,8.488754208,1.28,0.63,2.012149101,-2.888510883,0.9903546501,17.4,0.03999996,0.26399994,3.2369995,0.03546829617,0.337083072,"""""",12.563,12.523,12.259,9.022,0.002039082148,3.54E+29,42.68306298,-25.34029847,-25.38029843,-25.64429837,-28.88129788,0.023,0.027,0.336,"""""",1,13.433,-24.47029858,0.068,0.003,0.003,90,2105560151023970304,GALAXY,GALAXY,BROADLINE,0.790289,0.923173,0.941451,0.93646,0.933353,0.094993,0.012345,0.008856356,0.008371506,0.019832,37.7874728,22.60554817,19.70332175,20.5346872,37.7874728,-54.600517,-49.517815,-60.422543,-52.214012,-46.932816,72.000517,66.917815,0.5862539635,77.822543,69.614012,64.332816,4.400796,3.117485,2.916047,2.838749,2.398157,6.918013993,4.900659984,4.584001156,4.462489355,3.769882468,0.554161,0.054137,0.03106,0.02735,0.058855,0.5929999948,1.779000044,0.04578688718,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",0.0369,1,0.039,0.08,1,1,1,0,0.968671,2.912418,16.555143,15.139902,15.586472,-22.31682619,18.49889,14.798854,0.004785095761,0.2399173187,0.003770321,0.002838025,0.002946493,0.028775819,0.005374987,11.249961,10.684641,-0.81508356,-1.3780178,-12.099432,-12.126549,40.06179608,39.97810305
6,1000,J075756.71+395936.1,1,0,07:57:57,+39:59:36,119.4875,39.99333333,0.065777,295.6480345,91.26999664,23.97978898,98.26000214,99.19999695,0.9905242456,0.012868076,0.0127933165,46.0559394,46.3250736,1.005843637,58.45656521,37.85632315,6.814138167,0.75,0,0.9464080788,-4.823081065,0,74.900002,0.49300003,3.571,3.671,0.03465544783,0.03465544783,0.03687817934,12.83,12.337,8.766,5.095,0.07589880385,7.94E+30,44.0340939,-24.52387506,-25.01687509,-28.58787519,-32.25887519,0.024,0.025,0.024,0.028,0,13.603,-23.75087529,0.068,0.004,0.004,90,612591291074635776,GALAXY,GALAXY,AGN,0.825945,0.903116,0.916385,0.904917,0.890206,0.074059,0.010036,0.008450973,0.008492261,0.019017,34.31558291,25.42927669,23.59681257,25.18789333,34.31558291,-18.585278,-26.733147,-13.680489,-14.052158,-11.888046,93.48528,101.633149,0.4516485684,88.580491,88.95216,86.788048,3.606803,4.572147,4.30545,4.179811,4.178066,4.55134333,5.769489144,5.432950217,5.274409198,5.272207221,0.350987,0.059889,0.040387,0.038123,0.085954,0.6166594593,1.849978378,0.02047753468,0.04199999943,5.958371598,20.97152765,122.5199966,14.69999981,244.6799927,15.65999985,-22.48999977,5.730000019,-20.12999916,0.0997,1,0.0992,0.31,1,1,0,1,0.7515175,2.4779715,16.210932,15.039555,15.4594145,-21.89446048,17.937386,14.772599,0.004380393115,0.2008209165,0.0033453435,0.0028624365,0.002827812,0.020160522,0.0054217856,10.831485,10.163782,-0.25687918,-0.39525482,-11.145614,-10.604721,41.15276508,40.12591702
7,34000,J075828.10+374711.8,0,1,07:58:28,+37:47:12,119.6166667,37.78666667,0.040825,180.2800379,243,23.97541251,198.5899963,225.5,0.8806651722,0.03372997,0.019096,68.7456,121.427892,1.766336929,97.9682912,24.2040662,4.356731915,3,0,2.42040662,-10.56619474,0,114,0.04699993,1.0740004,1.9830003,0.03111269803,0.04741307718,0.1596245546,10.824,10.777,9.703,7.72,0.006764488013,2.63E+29,42.55443919,-25.45573785,-25.50273778,-26.57673814,-28.55973841,0.022,0.022,0.042,0.154,1,12.104,-24.17573811,0.072,0.003,0.003,90,612524495743248384,GALAXY,GALAXY,BROADLINE,0.700033,0.726254,0.720738,0.730169,0.72042,0.021294,0.003964874,0.003570077,0.003675233,0.005107463,45.57034834,43.42673395,43.88455526,43.09943621,45.57034834,-40.020576,-34.853645,-36.10043,-34.836182,-34.151539,154.020576,148.853645,0.3634849942,150.10043,148.836182,148.151539,11.150616,16.096388,15.761496,16.288015,15.018567,8.996341593,12.98660136,12.71640975,13.14120644,12.11701299,0.433386,0.095005,0.081629,0.089163,0.144083,0.7257292883,2.177187865,0.008999999613,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",2.8436,4,0.2255,0.63,1,0,1,0,0.8923625,2.879683,13.8779745,12.519102,12.985612,-23.2941262,15.865295,12.212498,0.00252868143,0.1336782993,0.0018688283,0.0016905961,0.0017034408,0.008933493,0.0022716185,11.619713,10.394132,-0.7749161,-1.1497821,-12.443975,-11.593411,40.03231416,40.12154054
8,35000,J075846.99+270515.6,0,0,07:58:47,+27:05:16,119.6958333,27.08777778,0.098745,454.1161309,69.05000305,24.23140851,60.68000031,63.5,0.955590556,0.012656084,0.012544029,45.1585044,45.5619024,1.008932935,83.09020333,54.71031648,9.847856967,1.17,1.16,2.133702264,0.7686087449,2.11546551,90,0.63799953,2.677,2.1280003,0.03471311128,0.04614108704,0.1321968225,12.9,12.262,9.585,7.457,0.008618564499,2.13E+30,43.46207777,-25.38583503,-26.02383456,-28.70083461,-30.82883487,0.026,0.023,0.04,0.126,0,14.121,-24.16483436,0.068,0.004,0.004,90,1046014932828579840,GALAXY,GALAXY,AGN,0.99999,0.916641,0.889527,0.92382,0.771048,0.095038,0.031025,0.022641,0.025137,0.048914,0.2562347292,23.56014371,27.18613003,22.5089116,0.2562347292,81.900772,58.750072,66.431808,62.038094,67.223732,8.099228,31.249928,0.9862538518,23.568192,27.961906,22.776268,0.213935,0.748539,0.949482,0.842026,0.874961,0.3901483852,1.36509352,1.73154869,1.535583631,1.595646441,0.046622,0.02287,0.022239,0.027206,0.068874,1.253507649,3.760522946,0.05600000173,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",0.0538,1,0.0635,0.19,1,1,1,0,0.865868,2.033364,18.090014,16.80821,17.224146,-21.06168865,19.25751,16.441755,0.008699557311,0.2391913958,0.0070110243,0.0051591406,0.005150518,0.028592998,0.010226599,10.738606,10.381921,0.2714754,0.12352671,-10.496713,-10.305555,39.96047706,40.37753655
9,24,J075940.96+505023.9,0,0,07:59:41,+50:50:24,119.9208333,50.84,0.05436408,242.365709,42.9148525,23.47946093,45.54999924,47.60126,0.9569074272,0.01272222222,0.01258333333,45.3,45.8,1.011037528,48.40946853,31.70925886,5.707666595,1.15,1.14,1.215521565,0.1124780009,1.204951822,90,1.3950005,4.2599998,2.9880002,0.03280243961,0.02499999972,0.0226715684,12.35,10.955,6.695,3.707,0.2725428799,1.92E+31,44.41668616,-24.57235549,-25.96735595,-30.2273557,-33.21535585,0.026,0.02,0.015,0.017,0,13.295,-23.62735579,0.042,0.002,0.002,90,2104310005363664896,GALAXY,QSO,AGN_BROADLINE,0.88564,0.939138,0.859598,0.835952,0.76443,0.07686,0.010987,0.009234459,0.009271917,0.020856,27.66961691,20.09270497,30.72852372,33.28490255,27.66961691,104.58432,-44.432449,-9.13789,-0.434258,9.528324,14.58432,134.432449,0.79241696,99.13789,90.434258,80.471676,0.654729,1.043585,1.887732,1.4294,1.439103,0.6920323782,1.103043564,1.995286088,1.510840487,1.521096319,0.057832,0.014935,0.022895,0.014505,0.036048,0.5460000038,1.638000011,0.03841349012,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",0.313795,1.815067,16.085854,15.250523,15.772059,-21.15029687,17.587126,15.138221,0.004507117466,0.1606357817,0.0033096424,0.00309246,0.003059473,0.012897247,0.005799075,10.33822,9.746151,1.0023881,-0.47206423,-9.427659,-10.308024,42.24300975,39.62558896
10,36000,J080041.98+321727.6,0,0,08:00:42,+32:17:28,120.175,32.29111111,0.187239,910.5530261,104,25.01355478,73.73000336,91.69000244,0.8041226022,0.012895613,0.012806944,46.1049984,46.4242068,1.00692351,145.3946051,93.95611583,16.91210085,3.58,1.47,11.21209625,-2.912038511,4.603849765,103,0.22699928,0.5980005,3.7390003,0.0432781707,"""""","""""",13.445,13.218,12.62,8.881,0.00232185461,2.30E+30,43.49675448,-26.35152652,-26.5785258,-27.17652632,-30.91552664,0.028,0.033,"""""","""""",1,14.349,-25.44752623,0.098,0.008,0.008,90,1194668081276807168,GALAXY,GALAXY,"""""",0.467819,0.836941,0.856401,0.857786,0.861768,0.191068,0.036055,0.017194,0.016151,0.039363,62.10718401,33.18150736,31.08514242,30.9311034,62.10718401,-45.382713,-19.572428,-30.568817,-32.314533,-35.641312,148.382713,122.572428,0.9987344921,133.568817,135.314533,138.641312,23.967508,4.509808,5.028238,4.439382,3.972266,75.06313193,14.12413476,15.7477904,13.90356965,12.44062281,9.166536,0.219284,0.142706,0.094397,0.238436,0.8220954021,2.466286206,0.02400000021,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",0.0954,1,0.0917,0.62,1,1,1,0,1.354537,3.461364,17.948597,16.075808,16.59406,-23.20246621,20.055424,15.704725,0.01193910218,0.4662897856,0.010667615,0.0050637918,0.0053613572,0.10869871,0.011112089,11.728906,10.943283,-0.067124344,-1.3158946,-11.881309,-12.282001,40.0644993,41.15968281
