# Name_paper_1_2   Name      J2000                 Detection   Compact_0_Extended_1   RA         Dec         Ra_degrees           Dec_degrees          z            D_L                  S_cont               Radio_Power          FIRST_peak[mJy]      FIRST_integr[mJy]    FIRST_Ratio           NVSS_major_[degrees]   NVSS_minor_[degrees]   NVSS_minor_[arcsec]   NVSS_major_[arcsec]   NVSS_ratio           NVSS_beam_limit_[kpc]   WSRT_beam_limit_[kpc]   FIRST_beam_limit_[kpc]   FIRST_major_dc_[arcsec]   FIRST_minor_dc_[arcsec]   FIRST_major_dc_[kpc]   R_FIRST-R_g              FIRST_minor_dc_[kpc]   FIRST_pa_[degrees]   W1-W2           W2-W3        W3-W4        eW1-W2                 eW2-W3                 eW3-W4                 W1mag    W2mag    W3mag    W4mag   W4_flux                 W4_lum                  W4_nuLum             absW1mag              absW2mag              absW3mag              absW4mag              e_W1mag   e_W2mag   e_W3mag   e_W4mag   WISE_type   Kmag_[2MASS]   absKmag               e_Kmag_[2MASS]   errHalfMaj   errHalfMin   errPosAng   SpObjID               spType              spCl     subClass                deVAB_u    deVAB_g    deVAB_r    deVAB_i    deVAB_z    deVABErr_u    deVABErr_g    deVABErr_r    deVABErr_i    deVABErr_z    i_u_[degrees]         i_g_[degrees]        i_r_[degrees]        i_i_[degrees]        i_z_[degrees]         deVPhi_u_[degrees]   deVPhi_g_[degrees]   deVPhi_r_[degrees]   deVPhi_i_[degrees]   deVPhi_z_[degrees]   PA_u-PA_FIRST         PA_g-PA_FIRST         cos_PA_diff             PA_r-PA_FIRST         PA_i-PA_FIRST         PA_z-PA_FIRST         deVRad_u_[arcsec]   deVRad_g_[arcsec]   deVRad_r_[arcsec]   deVRad_i_[arcsec]   deVRad_z_[arcsec]   deVRad_u_[kpc]         deVRad_g_[kpc]          deVRad_r_[kpc]        deVRad_i_[kpc]          deVRad_z_[kpc]         deVRadErr_u_[arcsec]   deVRadErr_g_[arcsec]   deVRadErr_r_[arcsec]   deVRadErr_i_[arcsec]   deVRadErr_z_[arcsec]   RMS_[mJy]             3*RMS_[mJy]          3*RMS_[tau]             tau_[-]                 tau_dv[kms]      NHI                  w50_[km/s]           dw50_[km/s]          w20_[km/s]           dw20_[km/s]          cen_[km/s]            dcen_[km/s]           peak_pos_[km/s]       NVSS[best_Jy]   radclas[best]   FIRST[[best_Jy]   off_First[best]   rad_agn[best]   main_samp[best]   lerg[best]   herg[best]   g-r                   u-r                  g            i            r            abs_R                 u            z_old        e_g-r                   err_u-r               err_g          err_i          err_r          err_u          err_z          lgm_tot_p50   lgm_fib_p50   sfr_tot_p50    sfr_fib_p50    specsfr_tot_p50   specsfr_fib_p50   lgLOIII              lgRadio             
  1                18.0      J075157.32+522309.2   0.0         0.0                    07:51:57   +52:23:09   117.98750000000001   52.38583333333333    0.1887022    918.4595614129768    68.468183279         24.839519837860784   45.439998626708984   45.65116             0.9953744576634852    0.0130833333333        0.0128888888889        46.40000000004        47.09999999988        1.0150862068930904   148.42589645250962      94.53878754961003       17.01698175892981        0.82                      0.0                       2.5840601704828714     2.0863607234279495       0.0                    21.799999            1.2939997       3.1490002    2.9029999    0.10198039041066771    0.18712830457719054    ""                     15.995   14.701   11.552   8.649   0.0028749796865164216   2.9017888913629885E30   43.59706383591001    -23.820300312631993   -25.114299984568028   -28.263300152414708   -31.166300030344395   0.068     0.076     0.171     ""        0.0         14.061         -25.754300327890782   0.064            0.019        0.018        0.0         4142369463108826112   QSO                 QSO      ""                      0.05       0.499909   0.649977   0.062604   0.349962   0.0           1.465707      0.733082      6.093976      0.87175       87.13401601740115     60.00602032893797    49.46013220539186    86.41070784855485    87.13401601740115     75.768265            -21.238495           42.484226            19.755989            -12.651814           53.968266             43.038494             0.5867125023100157      20.684227             2.04401               34.451813             1.488677            0.157935            0.105346            0.157003            0.248506            4.691257287766361      0.49769944705492203     0.33197610377337394   0.49476244205504755     0.7831151979601132     2.901789               0.108116               0.057382               0.116064               0.184382               0.8230000138282776    2.4690001010894775   0.036279024631          ""                      ""               ""                   ""                   ""                   ""                   ""                   ""                    ""                    ""                    ""              ""              ""                ""                ""              ""                ""           ""           0.8608530000000023    2.363377             21.247772    19.91784     20.386919    -19.428381198191076   22.750296    19.476553    0.050217801190916046    0.8149079132899579    0.040805887    0.030910335    0.02926956     0.3316091      0.067496836    ""            ""            ""             ""             ""                ""                ""                   40.985647873540785  
  2                19.0      J075244.19+455657.4   0.0         1.0                    07:52:44   +45:56:57   118.18333333333332   45.94916666666667    0.05169472   230.0034940863097    55.5426590145        23.54600648836095    39.869998931884766   50.15449             0.79494376140371      0.0260833333333        0.0161388888889        58.10000000004        93.89999999988        1.6161790017179922   94.66632231995085       30.244831412163524      5.444069654189435        3.35                      2.04                      3.3773394115458637     -2.2670750304008824      2.056648497568828      49.700001            0.43700027      2.2319994    2.131        0.03182766139807547    0.032557641786618484   0.06276941718002647    11.264   10.827   8.595    6.464   0.02150972002680197     1.3614903857841205E30   43.26841260100561    -25.544672229185664   -25.981672503843868   -28.2136719011217     -30.34467194308337    0.023     0.022     0.024     0.058     2.0         12.329         -24.479671695128047   0.035            0.0030       0.0030       90.0        1955720899910985728   GALAXY              GALAXY   AGN                     0.929044   0.930508   0.942322   0.947037   0.951798   0.056151      0.007293981   0.006220411   0.00624135    0.010956      21.71372087398722     21.485858173311346   19.554764670024824   18.730941261840947   21.71372087398722     120.215714           -48.736237           -58.244675           -47.827667           -50.126793           70.515713             98.436238             0.5002873305069798      107.944676            97.527668             99.826794             3.690823            5.598723            5.33193             5.593251            4.558064            3.720943980237854      5.644414441946746       5.375444131715236     5.638897784697169       4.595262574861724      0.260267               0.049578               0.035261               0.040848               0.063853               0.6169999837875366    1.8509999513626099   0.0335122192704         ""                      ""               ""                   ""                   ""                   ""                   ""                   ""                    ""                    ""                    0.576           4               0.0501            0.37              1               1                 0            1            0.9431620000000009    2.7126600000000014   15.36724     13.947131    14.424078    -22.384594168150507   17.136738    13.615051    0.003414949203582134    0.17198633392158344   0.002592262    0.0021750764   0.0022230735   0.0147871785   0.0034578764   ""            ""            ""             ""             ""                ""                ""                   39.69213452404095   
  3                21.0      J075555.12+420756.7   0.0         1.0                    07:55:55   +42:07:57   118.97916666666667   42.1325              0.1499735    712.9191095091003    57.5572326779        24.54409137107285    44.689998626708984   62.95216             0.7099041339758475    0.0129722222222        0.0125555555556        45.200000000159996    46.69999999992        1.0331858407025374   122.05521447158823      78.40806068852076       14.113450923933739       4.22                      2.6                       11.029399988496392     7.290550818594625        6.795365010419286      133.5                0.17999935      2.198        3.8960009    0.08005622820257145    0.40249223654231786    ""                     14.773   14.593   12.395   8.499   0.0033009200784539267   2.0073655903070667E30   43.43702449743018    -24.492201516298124   -24.67220086779959    -26.87020082202322    -30.766201684144804   0.035     0.072     0.396     ""        2.0         15.153         -24.112201401857206   0.139            0.0080       0.0070       0.0         492098280235231232    SERENDIPITY_FIRST   GALAXY   ""                      0.521565   0.73232    0.755461   0.747099   0.727654   0.731184      0.06398       0.037665      0.035814      0.087147      58.562712734412194    42.918757924535896   40.93433275081874    41.6602946797302     58.562712734412194    -21.9627             27.56918             23.776741            22.437031            22.248951            155.4627              105.93082             0.6345808842107776      109.723259            111.062969            111.251049            2.016687            1.430535            1.194692            1.189626            1.131018            5.270817222858363      3.738849169901768       3.122449428003008     3.1092089201547397      2.956030932793646      2.893584               0.107284               0.059187               0.05399                0.110673               1.8600000143051147    5.579999923706055    0.098548021842          ""                      ""               ""                   ""                   ""                   ""                   ""                   ""                    ""                    ""                    0.064           1               0.063             0.71              1               0                 1            0            1.0874410000000019    3.2867800000000003   19.225058    17.65708     18.137617    -21.127584279786895   21.424397    17.294924    0.01792632094838927     0.596590931859603     0.015284404    0.009013557    0.009366962    0.1779165      0.019462327    10.737954     10.369858     -1.4072543     -1.5442888     -12.219412        -11.925842        39.83672347487928    40.690219406752846  
  4                33000.0   J075607.06+383401.0   0.0         0.0                    07:56:07   +38:34:01   119.02916666666667   38.566944444444445   0.215605     1066.025089726927    70.18000030517578    24.97965917235079    59.81999969482422    63.95000076293945    0.93541827961152      0.01328012             0.01288027             46.368972             47.808431999999996    1.0310436038996078   167.2098424749315       104.92490685007081      18.886483233012747       1.57                      1.25                      5.491070308604719      -35.080708590199194      4.37187111875295       177.5                0.26000023      1.4399996    3.9350004    0.0720069450314992     0.4585564424328621     0.6192132082972003     14.118   13.858   12.418   8.483   0.0033499237893565284   4.554919788890759E30    43.79287875565428    -26.020837100823215   -26.28083732970505    -27.72083691008835    -31.65583732970505    0.044     0.057     0.455     0.42      1.0         14.563         -25.575837405998996   0.118            0.026        0.024        0.0         612551433778128896    GALAXY              GALAXY   BROADLINE               0.686505   0.608145   0.603706   0.596718   0.63695    1.38827       0.0342        0.015637      0.014807      0.048126      46.64591788470495     52.54450508991376    52.86421600076643    53.36479843395764    46.64591788470495     24.736095            49.857887            41.367989            39.120731            42.832882            152.763905            127.642113            0.39641675907955976     136.132011            138.379269            134.66711800000002    1.865703            11.600233           12.456161           11.500478           9.893229            6.525290449496588      40.57177889880391       43.565384421149496    40.222886096042956      34.60153770904731      3.533867               0.768291               0.293759               0.310698               0.670561               0.9397305829359902    2.8191917488079707   0.041000001132488216    ""                      ""               ""                   ""                   ""                   ""                   ""                   ""                    ""                    ""                    0.0627          1               0.064             0.54              1               1                 1            0            1.3771929999999983    4.225390999999998    18.345304    16.429722    16.968111    -23.170726131340793   21.193502    16.085196    0.015104142034288578    0.8149942531667387    0.013587583    0.0061236704   0.0065964153   0.33208606     0.017572239    11.602289     10.791816     -0.8932983     -0.6807246     -12.534946        -11.546017        40.30103688692976    41.125787208030786  
  5                22.0      J075648.71+531256.2   0.0         0.0                    07:56:49   +53:12:56   119.20416666666668   53.21555555555555    0.08365778   380.7672949965071    39.151173085         23.83197501085166    37.68000030517578    38.97862             0.9666837949926339    0.0129722222222        0.0126666666667        45.600000000120005    46.69999999992        1.0241228070130943   73.41200398495334       47.159745600693206      8.48875420812478         1.28                      0.63                      2.012149100654539      -2.888510883144697       0.9903546501187177     17.4                 0.03999996      0.26399994   3.2369995    0.035468296166806065   0.33708307201193044    ""                     12.563   12.523   12.259   9.022   0.0020390821482467445   3.537243474007149E29    42.68306297611854    -25.340298468329088   -25.380298430182116   -25.64429836914696    -28.88129788086571    0.023     0.027     0.336     ""        1.0         13.433         -24.470298582770006   0.068            0.0030       0.0030       90.0        2105560151023970304   GALAXY              GALAXY   BROADLINE               0.790289   0.923173   0.941451   0.93646    0.933353   0.094993      0.012345      0.008856356   0.008371506   0.019832      37.78747280277557     22.605548169284226   19.70332174529258    20.534687201933576   37.78747280277557     -54.600517           -49.517815           -60.422543           -52.214012           -46.932816           72.000517             66.91781499999999     0.5862539634669719      77.822543             69.614012             64.33281600000001     4.400796            3.117485            2.916047            2.838749            2.398157            6.918013993351609      4.900659983799236       4.584001155988821     4.462489355474075       3.7698824676840537     0.554161               0.054137               0.03106                0.02735                0.058855               0.5929999947547913    1.7790000438690186   0.0457868871779         ""                      ""               ""                   ""                   ""                   ""                   ""                   ""                    ""                    ""                    0.0369          1               0.039             0.08              1               1                 1            0            0.9686710000000005    2.912417999999999    16.555143    15.139902    15.586472    -22.316826193670884   18.49889     14.798854    0.004785095761015656    0.23991731871834315   0.003770321    0.002838025    0.002946493    0.028775819    0.005374987    11.249961     10.684641     -0.81508356    -1.3780178     -12.099432        -12.126549        40.06179607802621    39.97810304653166   
  6                1000.0    J075756.71+395936.1   1.0         0.0                    07:57:57   +39:59:36   119.4875             39.99333333333333    0.065777     295.6480344894484    91.2699966430664     23.979788980788637   98.26000213623047    99.19999694824219    0.990524245555147     0.012868076            0.0127933165           46.0559394            46.3250736            1.0058436371835247   58.45656520625337       37.85632315083038       6.814138167149467        0.75                      0.0                       0.9464080787707595     -4.823081065399229       0.0                    74.900002            0.49300003      3.571        3.671        0.034655447834524296   0.034655447834524296   0.03687817933633197    12.83    12.337   8.766    5.095   0.07589880384794771     7.937721873487817E30    44.034093899880986   -24.52387505675741    -25.01687508727499    -28.58787518645712    -32.258875190271816   0.024     0.025     0.024     0.028     0.0         13.603         -23.750875293268642   0.068            0.0040       0.0040       90.0        612591291074635776    GALAXY              GALAXY   AGN                     0.825945   0.903116   0.916385   0.904917   0.890206   0.074059      0.010036      0.008450973   0.008492261   0.019017      34.31558291262174     25.429276686209203   23.59681257294707    25.187893325110423   34.31558291262174     -18.585278           -26.733147           -13.680489           -14.052158           -11.888046           93.48528              101.633149            0.4516485683552595      88.580491             88.95216              86.788048             3.606803            4.572147            4.30545             4.179811            4.178066            4.5513433303128155     5.769489144169989       5.432950216991422     5.274409197513183       5.272207221383242      0.350987               0.059889               0.040387               0.038123               0.085954               0.6166594593333333    1.8499783779999999   0.020477534681185176    0.041999999433755875    5.958371598      20.971527648763086   122.5199966430664    14.699999809265137   244.67999267578125   15.65999984741211    -22.489999771118164   5.730000019073486     -20.1299991607666     0.0997          1               0.0992            0.31              1               1                 0            1            0.7515175000000003    2.4779715000000007   16.210932    15.039555    15.4594145   -21.894460480463465   17.937386    14.772599    0.004380393114817008    0.20082091654184667   0.0033453435   0.0028624365   0.002827812    0.020160522    0.0054217856   10.831485     10.163782     -0.25687918    -0.39525482    -11.145614        -10.604721        41.152765083078144   40.125917016468634  
  7                34000.0   J075828.10+374711.8   0.0         1.0                    07:58:28   +37:47:12   119.61666666666665   37.78666666666666    0.040825     180.28003794621208   243.0                23.975412509267567   198.58999633789062   225.5                0.8806651722301136    0.03372997             0.019096               68.7456               121.42789199999999    1.7663369291998325   97.9682911969379        24.204066195171514      4.356731915130872        3.0                       0.0                       2.420406619517151      -10.566194735654996      0.0                    114.0                0.04699993      1.0740004    1.9830003    0.03111269802599328    0.0474130771824975     0.15962455462600483    10.824   10.777   9.703    7.72    0.006764488013271249    2.6305173294721992E29   42.554439189318295   -25.455737845475184   -25.502737776810633   -26.576738135392176   -28.559738413865077   0.022     0.022     0.042     0.154     1.0         12.104         -24.175738112503993   0.072            0.0030       0.0030       90.0        612524495743248384    GALAXY              GALAXY   BROADLINE               0.700033   0.726254   0.720738   0.730169   0.72042    0.021294      0.003964874   0.003570077   0.003675233   0.005107463   45.570348344645026    43.4267339487376     43.88455525845355    43.09943620947392    45.570348344645026    -40.020576           -34.853645           -36.10043            -34.836182           -34.151539           154.020576            148.853645            0.3634849941913523      150.10043000000002    148.836182            148.151539            11.150616           16.096388           15.761496           16.288015           15.018567           8.99634159269795       12.986601355172148      12.716409750631033    13.141206441598218      12.117012994153946     0.433386               0.095005               0.081629               0.089163               0.144083               0.7257292882957477    2.177187864887243    0.008999999612569812    ""                      ""               ""                   ""                   ""                   ""                   ""                   ""                    ""                    ""                    2.8436          4               0.2255            0.63              1               0                 1            0            0.8923625000000008    2.879683             13.8779745   12.519102    12.985612    -23.294126204056727   15.865295    12.212498    0.0025286814299127383   0.13367829932550424   0.0018688283   0.0016905961   0.0017034408   0.008933493    0.0022716185   11.619713     10.394132     -0.7749161     -1.1497821     -12.443975        -11.593411        40.03231415783832    40.121540544947564  
  8                35000.0   J075846.99+270515.6   0.0         0.0                    07:58:47   +27:05:16   119.69583333333331   27.08777777777778    0.098745     454.1161309415554    69.05000305175781    24.231408514194236   60.68000030517578    63.5                 0.9555905559870201    0.012656084            0.012544029            45.1585044            45.5619024            1.008932935343182    83.09020332548165       54.71031648064918       9.847856966516852        1.17                      1.16                      2.1337022644815824     0.7686087448779606       2.115465509713307      90.0                 0.63799953      2.677        2.1280003    0.034713111284778386   0.046141087038683096   0.13219682254788867    12.9     12.262   9.585    7.457   0.008618564499075462    2.1265703198060718E30   43.46207777031203    -25.385835026566703   -26.023834561173636   -28.700834606950004   -30.828834866349418   0.026     0.023     0.04      0.126     0.0         14.121         -24.164834355179984   0.068            0.0040       0.0040       90.0        1046014932828579840   GALAXY              GALAXY   AGN                     0.99999    0.916641   0.889527   0.92382    0.771048   0.095038      0.031025      0.022641      0.025137      0.048914      0.25623472915884415   23.560143712862704   27.186130025213316   22.50891159919628    0.25623472915884415   81.900772            58.750072            66.431808            62.038094            67.223732            8.099227999999997     31.249927999999997    0.9862538517588125      23.568191999999996    27.961906             22.776268             0.213935            0.748539            0.949482            0.842026            0.874961            0.3901483852095894     1.3650935196036218      1.7315486904226582    1.535583631497837       1.5956464406075095     0.046622               0.02287                0.022239               0.027206               0.068874               1.2535076486082113    3.7605229458246336   0.05600000172853464     ""                      ""               ""                   ""                   ""                   ""                   ""                   ""                    ""                    ""                    0.0538          1               0.0635            0.19              1               1                 1            0            0.865867999999999     2.033363999999999    18.090014    16.80821     17.224146    -21.061688645096975   19.25751     16.441755    0.008699557310778204    0.2391913958228187    0.0070110243   0.0051591406   0.005150518    0.028592998    0.010226599    10.738606     10.381921     0.2714754      0.12352671     -10.496713        -10.305555        39.96047705525742    40.377536549874236  
  9                24.0      J075940.96+505023.9   0.0         0.0                    07:59:41   +50:50:24   119.9208333333333    50.839999999999996   0.05436408   242.36570898539435   42.9148525           23.479460925945258   45.54999923706055    47.60126             0.9569074271786198    0.0127222222222        0.0125833333333        45.29999999988        45.79999999992        1.0110375275947312   48.40946853055328       31.709258862863223      5.707666595315381        1.15                      1.14                      1.2155215645428352     0.11247800086279791      1.2049518216686494     90.0                 1.3950005       4.2599998    2.9880002    0.03280243960626005    0.024999999720603225   0.02267156840486143    12.35    10.955   6.695    3.707   0.2725428799333252      1.9155264029394948E31   44.41668616462784    -24.57235548783536    -25.96735594559903    -30.22735569764371    -33.21535585213895    0.026     0.02      0.015     0.017     0.0         13.295         -23.62735579301114    0.042            0.0020       0.0020       90.0        2104310005363664896   GALAXY              QSO      AGN_BROADLINE           0.88564    0.939138   0.859598   0.835952   0.76443    0.07686       0.010987      0.009234459   0.009271917   0.020856      27.669616910000663    20.092704973826564   30.728523723412955   33.284902547810546   27.669616910000663    104.58432            -44.432449           -9.13789             -0.434258            9.528324             14.584320000000005    134.432449            0.7924169599728623      99.13789              90.434258             80.471676             0.654729            1.043585            1.887732            1.4294              1.439103            0.6920323782007859     1.1030435636800373      1.9952860883903503    1.5108404872858896      1.521096318577435      0.057832               0.014935               0.022895               0.014505               0.036048               0.5460000038146973    1.6380000114440918   0.0384134901225         ""                      ""               ""                   ""                   ""                   ""                   ""                   ""                    ""                    ""                    ""              ""              ""                ""                ""              ""                ""           ""           0.3137950000000007    1.8150670000000009   16.085854    15.250523    15.772059    -21.150296869305087   17.587126    15.138221    0.004507117466142497    0.1606357817394298    0.0033096424   0.00309246     0.003059473    0.012897247    0.005799075    10.33822      9.746151      1.0023881      -0.47206423    -9.427659         -10.308024        42.243009751845655   39.625588961625255  
  10               36000.0   J080041.98+321727.6   0.0         0.0                    08:00:42   +32:17:28   120.175              32.29111111111112    0.187239     910.5530260508824    104.0                25.013554777354038   73.7300033569336     91.69000244140625    0.8041226021784671    0.012895613            0.012806944            46.1049984            46.4242068            1.0069235096210305   145.3946050527818       93.95611583359252       16.912100850046652       3.58                      1.47                      11.212096250532616     -2.9120385106427875      4.603849765449567      103.0                0.22699928      0.5980005    3.7390003    0.043278170701599894   ""                     ""                     13.445   13.218   12.62    8.881   0.002321854609937382    2.3033315670738592E30   43.496754481731145   -26.351526515197513   -26.578525798034427   -27.17652632446265    -30.91552664489722    0.028     0.033     ""        ""        1.0         14.349         -25.447526232909915   0.098            0.0080       0.0080       90.0        1194668081276807168   GALAXY              GALAXY   ""                      0.467819   0.836941   0.856401   0.857786   0.861768   0.191068      0.036055      0.017194      0.016151      0.039363      62.10718400726855     33.1815073583991     31.085142417008722   30.93110339722224    62.10718400726855     -45.382713           -19.572428           -30.568817           -32.314533           -35.641312           148.382713            122.572428            0.9987344920503357      133.568817            135.31453299999998    138.641312            23.967508           4.509808            5.028238            4.439382            3.972266            75.06313192968517      14.124134761175403      15.747790398895717    13.90356964738552       12.440622813928039     9.166536               0.219284               0.142706               0.094397               0.238436               0.8220954021196727    2.466286206359018    0.02400000020861629     ""                      ""               ""                   ""                   ""                   ""                   ""                   ""                    ""                    ""                    0.0954          1               0.0917            0.62              1               1                 1            0            1.3545370000000005    3.4613639999999997   17.948597    16.075808    16.59406     -23.202466210021733   20.055424    15.704725    0.011939102177894987    0.4662897855958524    0.010667615    0.0050637918   0.0053613572   0.10869871     0.011112089    11.728906     10.943283     -0.067124344   -1.3158946     -11.881309        -12.282001        40.064499298830846   41.15968281303404   
