#freq[Hz] vel[km/s] flux[Jy/beam] noise[Jy/beam] tau tau_noise
1204911456.49 53616.85615 0.0 0.0 -0.0 -0.0
1204833332.45 53639.7719867 0.0 0.0 -0.0 -0.0
1204755208.41 53662.6907953 0.0 0.0 -0.0 -0.0
1204677084.37 53685.6125766 0.0 0.0 -0.0 -0.0
1204598960.33 53708.537331 0.0 0.0 -0.0 -0.0
1204520836.28 53731.4650592 0.0 0.0 -0.0 -0.0
1204442712.24 53754.3957617 0.0 0.0 -0.0 -0.0
1204364588.2 53777.3294391 0.0 0.0 -0.0 -0.0
1204286464.16 53800.2660921 0.0 0.0 -0.0 -0.0
1204208340.12 53823.2057211 0.0 0.0 -0.0 -0.0
1204130216.08 53846.1483267 0.0 0.0 -0.0 -0.0
1204052092.04 53869.0939096 0.0 0.0 -0.0 -0.0
1203973968.0 53892.0424703 0.0 0.0 -0.0 -0.0
1203895843.95 53914.9940093 0.0 0.0 -0.0 -0.0
1203817719.91 53937.9485273 0.0 0.0 -0.0 -0.0
1203739595.87 53960.9060249 0.0 0.0 -0.0 -0.0
1203661471.83 53983.8665026 0.0 0.0 -0.0 -0.0
1203583347.79 54006.8299611 0.0 0.0 -0.0 -0.0
1203505223.75 54029.7964008 0.0 0.0 -0.0 -0.0
1203427099.71 54052.7658223 0.0 0.0 -0.0 -0.0
1203348975.67 54075.7382264 0.0 0.0 -0.0 -0.0
1203270851.62 54098.7136134 0.0 0.0 -0.0 -0.0
1203192727.58 54121.6919841 0.0 0.0 -0.0 -0.0
1203114603.54 54144.6733389 0.0 0.0 -0.0 -0.0
1203036479.5 54167.6576786 0.0 0.0 -0.0 -0.0
1202958355.46 54190.6450036 0.0 0.0 -0.0 -0.0
1202880231.42 54213.6353145 0.0 0.0 -0.0 -0.0
1202802107.38 54236.6286119 0.0 0.0 -0.0 -0.0
1202723983.34 54259.6248965 0.0 0.0 -0.0 -0.0
1202645859.29 54282.6241687 0.0 0.0 -0.0 -0.0
1202567735.25 54305.6264292 0.0 0.0 -0.0 -0.0
1202489611.21 54328.6316786 0.0 0.0 -0.0 -0.0
1202411487.17 54351.6399174 0.0 0.0 -0.0 -0.0
1202333363.13 54374.6511461 0.0 0.0 -0.0 -0.0
1202255239.09 54397.6653655 0.0 0.0 -0.0 -0.0
1202177115.05 54420.6825761 0.0 0.0 -0.0 -0.0
1202098991.01 54443.7027784 0.0 0.0 -0.0 -0.0
1202020866.96 54466.7259731 0.0 0.0 -0.0 -0.0
1201942742.92 54489.7521607 0.0 0.0 -0.0 -0.0
1201864618.88 54512.7813418 0.0 0.0 -0.0 -0.0
1201786494.84 54535.8135171 0.0 0.0 -0.0 -0.0
1201708370.8 54558.848687 0.0 0.0 -0.0 -0.0
1201630246.76 54581.8868521 0.0 0.0 -0.0 -0.0
1201552122.72 54604.9280131 0.0 0.0 -0.0 -0.0
1201473998.68 54627.9721706 0.0 0.0 -0.0 -0.0
1201395874.64 54651.019325 0.0 0.0 -0.0 -0.0
1201317750.59 54674.0694771 0.0 0.0 -0.0 -0.0
1201239626.55 54697.1226274 0.0 0.0 -0.0 -0.0
1201161502.51 54720.1787764 0.0 0.0 -0.0 -0.0
1201083378.47 54743.2379248 -0.000264353875536 0.000233140417974 -0.00385353957084 0.00341090185786
1201005254.43 54766.3000731 -1.19761680253e-05 6.86212296733e-05 -0.000174900518216 0.00100273786579
1200927130.39 54789.365222 0.00167903315742 0.00117047737637 0.0248285156653 0.0172430112445
1200849006.35 54812.4333719 0.00342421815731 0.00209414741073 0.0513057319492 0.0310632057548
1200770882.31 54835.5045236 0.0046805087477 0.00458371582274 0.0708091771634 0.0692929036523
1200692758.26 54858.5786776 0.00421627098694 0.00457259430719 0.0635576730533 0.0691188308605
1200614634.22 54881.6558344 0.000952254398726 0.00125950222941 0.0140056062359 0.0185667382148
1200536510.18 54904.7359947 -0.00202675210312 0.00183533381656 -0.029171709 0.0271714685686
1200458386.14 54927.819159 -0.00287828780711 0.00255456134346 -0.0411787238139 0.0380240333846
1200380262.1 54950.905328 -0.00255095399916 0.00184801181959 -0.036580220165 0.0273617532313
1200302138.06 54973.9945022 -0.00217479001731 0.000867698447736 -0.0312694865548 0.0127540046029
1200224014.02 54997.0866822 -0.00153963605408 0.000621968288963 -0.0222377808829 0.00912555992763
1200145889.98 55020.1818685 -0.00137693982106 0.000985499419683 -0.0199111039667 0.0144981301361
1200067765.93 55043.2800619 -0.00165721750818 0.00164492852025 -0.0239159194656 0.0243180145941
1199989641.89 55066.3812628 -0.000819036038592 0.00105427793994 -0.0118913040697 0.0155178523785
1199911517.85 55089.4854719 -9.24394626054e-05 0.000375970172016 -0.00134919772437 0.0055062980468
1199833393.81 55112.5926897 0.000551845820155 9.00911626064e-05 0.00809254347679 0.00131667705769
1199755269.77 55135.7029169 0.000580832012929 0.000237565676018 0.00851942721591 0.00347575711934
1199677145.73 55158.8161539 -0.000160845607752 0.0014411127156 -0.0023464471525 0.0212725836369
1199599021.69 55181.9324015 0.000212512706639 0.000981269046194 0.00310864376319 0.0144354438193
1199520897.65 55205.0516602 0.000346547050867 0.00080842118064 0.0050742843896 0.011877512474
1199442773.6 55228.1739305 0.000362233491614 0.000607223253992 0.00530458195672 0.00890825328887
1199364649.56 55251.2992132 0.000877337995917 1.63657288537e-05 0.0128966106145 0.000239055343741
1199286525.52 55274.4275086 0.000326396955643 0.000177021022854 0.00477853230891 0.00258879743867
1199208401.48 55297.5588176 -0.0005948349135 0.000350139262952 -0.00865023523756 0.00512701810242
1199130277.44 55320.6931405 -0.000974065158516 0.00116834846809 -0.0141262897142 0.017211377557
1199052153.4 55343.8304781 -0.00110754976049 0.00174137534006 -0.0160466836313 0.0257623693871
1198974029.36 55366.9708309 -0.000941236387007 0.00122206394183 -0.0136534286738 0.0180098478927
1198895905.32 55390.1141995 -0.000647544453386 0.000797026615279 -0.00941315347206 0.0117091168776
1198817781.27 55413.2605845 0.000159541465109 2.81332997588e-05 0.00233287382357 0.000410980398845
1198739657.23 55436.4099865 0.000830280594528 0.000737852475403 0.0122006431668 0.0108350623196
1198661533.19 55459.5624061 0.000162435491802 0.00075941572984 0.00237524164005 0.0111534822571
1198583409.15 55482.7178438 -0.000485055497847 2.91062123072e-05 -0.00705941628312 0.000425196043982
1198505285.11 55505.8763003 -0.000594192184508 0.000651592381142 -0.00864092878094 0.00956229116661
1198427161.07 55529.0377761 -0.000658634235151 0.000362830124522 -0.00957359296294 0.00531334235904
1198349037.03 55552.2022718 -0.000223813549383 0.000169277894619 -0.00326353826387 0.00247541982085
1198270912.99 55575.3697881 0.000256462575635 0.000571183915195 0.00375275178202 0.00837731808911
1198192788.95 55598.5403255 0.000228264922043 0.000459791199653 0.00333945291383 0.00673804919324
1198114664.9 55621.7138846 0.000346412271028 0.000210930590387 0.00507230587421 0.00308546476717
1198036540.86 55644.890466 0.000697155599482 0.000866261052778 0.0102343764283 0.0127327417424
1197958416.82 55668.0700703 0.000439560040832 0.000972512984283 0.00644061310317 0.014305707647
1197880292.78 55691.2526981 0.000133382112836 0.000562487270095 0.00194998896612 0.00824924043811
1197802168.74 55714.4383499 0.000461782386992 0.000500568651686 0.00676732817527 0.0073378234364
1197724044.7 55737.6270264 0.00100213603582 0.000967374746063 0.0147446921613 0.0142295836137
1197645920.66 55760.8187282 0.00115323311184 0.00134061761303 0.0169868055484 0.0197743853758
1197567796.62 55784.0134558 0.000486907287268 0.000610682762299 0.00713684548945 0.0089592339483
1197489672.57 55807.2112099 4.82682517031e-05 0.000101459956949 0.000705222065334 0.00148295457735
1197411548.53 55830.411991 0.000136544011184 0.000207211387028 0.00199626072588 0.00303097821974
1197333424.49 55853.6157997 -7.80193367973e-05 5.60132636186e-05 -0.00113884895692 0.000818426682823
