#freq[Hz] vel[km/s] flux[Jy/beam] noise[Jy/beam] tau tau_noise
1319969784.47 22811.0867627 0.0 0.0 -0.0 -0.0
1319891654.53 22830.1830235 0.0 0.0 -0.0 -0.0
1319813524.59 22849.2815453 0.0 0.0 -0.0 -0.0
1319735394.65 22868.3823283 0.0 0.0 -0.0 -0.0
1319657264.71 22887.4853731 0.0 0.0 -0.0 -0.0
1319579134.77 22906.59068 0.0 0.0 -0.0 -0.0
1319501004.84 22925.6982494 0.0 0.0 -0.0 -0.0
1319422874.9 22944.8080818 0.0 0.0 -0.0 -0.0
1319344744.96 22963.9201774 0.0 0.0 -0.0 -0.0
1319266615.02 22983.0345368 0.0 0.0 -0.0 -0.0
1319188485.08 23002.1511603 0.0 0.0 -0.0 -0.0
1319110355.14 23021.2700483 4.27144332207e-05 1.31079442923e-05 0.000597738227632 0.000183392259881
1319032225.2 23040.3912013 0.000180861272383 0.000179510466478 0.00253339073072 0.00251444568458
1318954095.26 23059.5146195 -0.000510587240569 0.00092226715898 -0.00711754266175 0.0129861432829
1318875965.32 23078.6403036 -0.00112068175804 0.00179175630949 -0.0155563070685 0.0253855321734
1318797835.38 23097.7682537 -9.44719431573e-05 0.000193293419416 -0.00132075605651 0.00270776838577
1318719705.44 23116.8984704 0.000759093090892 0.00112882364501 0.0106762290435 0.015917857938
1318641575.5 23136.0309541 0.000556732586119 0.000850320000953 0.00781897811691 0.011966991844
1318563445.57 23155.1657051 7.20275056665e-05 0.000296364156658 0.0010081470089 0.00415464698101
1318485315.63 23174.3027238 -2.08997298614e-05 0.000225438260155 -0.000292336998522 0.00315878420318
1318407185.69 23193.4420107 -0.00023852805316 0.000336537667213 -0.00333136683821 0.00471915913087
1318329055.75 23212.5835661 -0.000399385171477 0.000415130986216 -0.00557170464931 0.00582446307186
1318250925.81 23231.7273905 0.000296508544125 0.000207660961298 0.00415667532155 0.0029093304518
1318172795.87 23250.8734843 6.38149504084e-05 0.000208449755082 0.000893147030725 0.00292039760652
1318094665.93 23270.0218478 -0.000124154204968 0.000184989736489 -0.00173536622821 0.00259129464421
1318016535.99 23289.1724815 0.000633707037196 0.000853414507941 0.00890486530308 0.0120108050237
1317938406.05 23308.3253858 0.000491897575557 0.000504590009169 0.00690525736047 0.00708406630335
1317860276.11 23327.4805611 -0.000351010239683 0.000937509275781 -0.00489849028136 0.0132021854875
1317782146.17 23346.6380077 -0.000487064942718 0.000725970407394 -0.00679075459635 0.0102079906143
1317704016.23 23365.7977261 7.27708393242e-05 0.000176212056695 0.00101855652362 0.00246818701189
1317625886.3 23384.9597167 0.000150581792695 0.000413012002319 0.00210880730377 0.00579464652765
1317547756.36 23404.1239799 4.47644270025e-05 0.000181616656559 0.000626434465402 0.00254398514651
1317469626.42 23423.2905161 2.34693579841e-05 0.000158190855491 0.000328381821388 0.00221548577148
1317391496.48 23442.4593257 0.000227631782764 0.00017523065449 0.00318956835803 0.0024544237126
1317313366.54 23461.6304091 0.000575009966269 0.000633317806282 0.00807671243003 0.00889937141183
1317235236.6 23480.8037668 0.000866584712639 0.00108549347067 0.0121972951484 0.0153021477208
1317157106.66 23499.979399 0.00092331727501 0.00144024480727 0.0130010261609 0.0203542584603
1317078976.72 23519.1573062 -0.000103111378849 0.000161629900165 -0.00144145185795 0.0022637046443
1317000846.78 23538.3374889 -0.000857804552652 0.000957467111246 -0.01192894475 0.0134851390121
1316922716.84 23557.5199474 -6.78869546391e-05 0.000173967378408 -0.000949263480795 0.00243670765997
1316844586.9 23576.7046822 0.000566271366552 0.000726542914487 0.00795347876903 0.0102160819924
1316766456.96 23595.8916936 0.000219184730668 0.000276047705994 0.00307102663486 0.00386928454503
1316688327.03 23615.080982 -0.000561599445064 0.000993735962044 -0.00782587285459 0.0139995480695
1316610197.09 23634.2725479 -0.000980498385616 0.00153258284879 -0.0136235970712 0.0216734669112
1316532067.15 23653.4663916 -0.000567710725591 0.000901244308434 -0.00791069742315 0.0126882413536
1316453937.21 23672.6625136 -7.07295839675e-06 0.00035321366229 -9.89432589407e-05 0.00495358134246
1316375807.27 23691.8609143 0.000136946808198 0.000385211406505 0.00191767434626 0.00540354244503
1316297677.33 23711.0615941 -1.59447663464e-05 0.000118563876052 -0.000223036694222 0.00166004325852
1316219547.39 23730.2645533 1.36050584842e-05 2.4786265924e-05 0.000190348009029 0.00034681111228
1316141417.45 23749.4697924 5.71652635699e-05 0.000134014706812 0.00080004150498 0.00187657740619
1316063287.51 23768.6773118 -0.00030259473715 5.02164836672e-06 -0.00422425721305 7.02535292976e-05
1315985157.57 23787.8871119 -0.000562593806535 0.000248219192477 -0.0078396750811 0.00347854068839
1315907027.63 23807.0991931 0.000138832314406 0.000322736850396 0.00194410288393 0.00452519618582
1315828897.69 23826.3135558 0.000793167972006 0.000884405402554 0.0111581571044 0.0124496915332
1315750767.76 23845.5302005 0.000952094676904 0.000989583171292 0.0134089630954 0.0139406347119
1315672637.82 23864.7491274 0.00108941923827 0.00145653606015 0.0153579162162 0.0205868807532
1315594507.88 23883.9703371 0.000740677351132 0.0013629193274 0.0104158680912 0.0192508677115
1315516377.94 23903.1938299 0.000347257708199 0.000734728022686 0.00486984941955 0.0103317712214
1315438248.0 23922.4196063 0.000122458994156 0.000160255902558 0.00171462658801 0.00224443953398
1315360118.06 23941.6476666 -0.000851730699651 0.0015120870258 -0.0118449777904 0.0213804983606
1315281988.12 23960.8780113 -0.00137635110877 0.00220146996675 -0.0190716336316 0.0312819954985
1315203858.18 23980.1106408 -0.00036657837336 0.000577769084404 -0.00511519516553 0.00811562527733
1315125728.24 23999.3455554 0.000562336412258 0.000946157291433 0.007897992134 0.0133247834684
1315047598.3 24018.5827556 0.000391805369873 0.000544797758824 0.00549629374217 0.00765071771079
1314969468.36 24037.8222417 -0.000638724071905 0.000688558397836 -0.00889583539921 0.009679379717
1314891338.42 24057.0640143 -0.00123523967341 0.00129956081137 -0.0171329497088 0.0183476842083
1314813208.49 24076.3080737 -0.0013580317609 0.00198218507911 -0.0188201622879 0.0281217961148
1314735078.55 24095.5544203 -0.0010004992364 0.00170876176669 -0.0138995776237 0.0241953253101
1314656948.61 24114.8030545 -0.000288836454274 0.000424657740711 -0.00403257673767 0.00595852646576
1314578818.67 24134.0539767 2.77347571682e-05 0.00024390812949 0.000388074607638 0.0034180221361
1314500688.73 24153.3071874 0.000520598434377 0.000791152247197 0.00730963600018 0.0111296418292
1314422558.79 24172.5626869 0.00104005937465 0.00133138103869 0.0146569482363 0.0188011835291
1314344428.85 24191.8204756 0.0012216825271 0.0016661116279 0.01723863602 0.0235842394491
1314266298.91 24211.080554 0.000654178089462 0.00100889669895 0.00919385133032 0.0142146545723
1314188168.97 24230.3429225 -0.000301165564451 0.000405311764651 -0.00420434768086 0.00568630279873
1314110039.03 24249.6075814 -0.000671998830512 0.000976568170946 -0.00935710828401 0.0137560205435
1314031909.09 24268.8745313 -0.000564240152016 0.00116417651898 -0.00786252674769 0.0164204938297
