1320+0+4: :  13:20:22.44 +0+34:06:02 -3.619E-02  0.000E+00  2.530E+02  7.397E+00 -1.778E+01 C ?
1320+0+4: :  13:20:55.10 +0+34:05:47  2.310E-02  0.000E+00  4.995E+01  7.524E+00 -6.733E+00 C ? F
1320+0+4: :  13:20:35.32 +0+34:08:22  1.064E-01  0.000E+00  4.862E+01  7.268E+00 -6.765E+00 C ? F
1320+0+4: :  13:20:32.31 +0+34:08:05  2.570E-02  0.000E+00  4.866E+01  6.311E+00 -9.153E+00 C ? F
1320+0+4: :  13:20:32.36 +0+34:08:04  2.973E-02  0.000E+00  3.799E+01  5.194E+00 -3.008E+00 C ? F
1320+0+4: :  13:20:17.74 +0+34:08:51  2.508E-02  0.000E+00  9.777E+01  7.606E+00 -1.029E+01 C ? F
1320+0+4: :  13:20:17.00 +0+34:09:39  2.118E-02  0.000E+00  1.728E+03  8.307E+00 -1.006E+01 F ? F
1320+0+4: :  13:20:17.01 +0+34:09:43  2.172E-02  0.000E+00  2.239E+02  8.618E+00 -1.029E+01 C ? F
1320+0+4: :  13:20:16.67 +0+34:10:08  2.130E-02  0.000E+00  1.454E+02  8.625E+00 -9.463E+00 C ? F
1320+0+4: :  13:20:15.74 +0+34:11:32  2.151E-02  0.000E+00  1.145E+02  8.388E+00 -6.341E+00 C ? F
1321+0+4: :  13:21:05.58 +0+34:15:01  2.302E-01  0.000E+00  6.370E+01  8.538E+00 -1.136E+01 C ? F
1321+0+4: :  13:21:04.75 +0+34:13:35  2.133E-02  0.000E+00  3.906E+01  1.333E+01 -5.893E+00 C ? F
1321+0+4: :  13:21:02.67 +0+34:14:44  4.125E-02  0.000E+00  5.638E+01  6.017E+00 -1.256E+01 C ? F
1321+0+4: :  13:21:08.42 +0+34:15:21  4.257E-02  0.000E+00  4.888E+01  6.097E+00 -1.263E+01 C ? F
1321+0+4: :  13:21:06.54 +0+34:16:27  4.271E-02  0.000E+00  3.547E+01  4.213E+00 -7.606E-01 C ? F
