0829+0+7: :  08:29:11.43 +0+17:56:26 -1.224E-02  0.000E+00  3.546E+02  2.820E+01  4.671E+00 C ?
0829+0+7: :  08:29:11.52 +0+17:48:06 -2.949E-02  0.000E+00  2.030E+02  8.796E+00  1.832E+01 F ?
0829+0+7: :  08:29:24.58 +0+17:46:19  2.136E-02  0.000E+00  1.902E+02  8.141E+00  1.094E+01 C ? F
0829+0+7: :  08:29:24.69 +0+17:46:31  3.765E-02  0.000E+00  6.754E+00  4.674E+00  8.317E+01 N ? F
0829+0+7: :  08:29:40.34 +0+17:48:40  2.195E-02  0.000E+00  5.473E+02  8.860E+00  7.288E+00 C ? F
0829+0+7: :  08:29:25.65 +0+17:48:02  2.090E-02  0.000E+00  3.741E+02  8.077E+00  9.681E+00 C ? F
0829+0+7: :  08:29:39.94 +0+17:48:01  2.229E-02  0.000E+00  1.968E+02  9.039E+00  7.163E+00 C ? F
0829+0+7: :  08:29:39.86 +0+17:47:54  2.201E-02  0.000E+00  2.329E+02  9.549E+00  6.772E+00 C ? F
0829+0+7: :  08:29:40.57 +0+17:49:47  4.410E-02  0.000E+00  4.742E+00  4.597E+00  2.874E+01 N ? F
0829+0+7: :  08:29:04.19 +0+17:52:26  3.409E-02  0.000E+00  6.626E+01  1.124E+01  1.127E+01 C ? F
0829+0+7: :  08:29:18.17 +0+17:54:03  2.535E-02  0.000E+00  4.014E+02  6.933E+00  1.064E+01 C ? F
0829+0+7: :  08:29:04.94 +0+17:54:17  1.938E-01  0.000E+00  9.663E+01  1.039E+01  1.433E+01 C ? F
0829+0+7: :  08:29:07.13 +0+17:52:58  3.489E-02  0.000E+00  6.019E+01  6.494E+00  1.296E+01 C ? F
0829+0+7: :  08:29:17.62 +0+17:53:46  2.658E-02  0.000E+00  2.649E+02  6.248E+00  6.954E+00 C ? F
0829+0+7: :  08:29:06.76 +0+17:54:05  3.082E-02  0.000E+00  2.475E+02  4.346E+00  1.640E+01 C ? F
0829+0+7: :  08:29:05.79 +0+17:53:14  1.901E-01  0.000E+00  3.128E+01  3.000E+00  1.168E+01 C ? F
0829+0+7: :  08:29:03.59 +0+17:54:50  3.878E-02  0.000E+00  5.288E+01  5.397E+00  1.336E+01 C ? F
0829+0+7: :  08:29:17.88 +0+17:54:22  2.295E-02  0.000E+00  4.830E+02  6.737E+00  5.815E+00 C ? F
0829+0+7: :  08:29:08.32 +0+17:55:46  3.380E-02  0.000E+00  7.915E+01  1.184E+01  1.171E+01 C ? F
0829+0+7: :  08:29:02.78 +0+17:55:44  3.457E-02  0.000E+00  8.669E+01  9.162E+00  1.552E+01 C ? F
0829+0+7: :  08:29:05.81 +0+17:57:00  3.961E-02  0.000E+00  5.325E+01  4.046E+00  5.244E-01 C ? F
0829+0+7: :  08:29:03.85 +0+17:57:22  3.247E-02  0.000E+00  4.449E+01  5.143E+00  3.554E+00 C ? F
0828+0+7: :  08:28:56.22 +0+17:57:30  2.787E-02  0.000E+00  6.559E+01  1.231E+01  7.868E+00 C ? F
0828+0+8: :  08:28:57.13 +0+18:00:18  2.578E-01  0.000E+00  9.175E+01  1.035E+01  1.409E+01 C ? F
0828+0+7: :  08:28:59.33 +0+17:58:56  5.117E-02  0.000E+00  7.330E+01  7.435E+00  1.231E+01 C ? F
0828+0+7: :  08:28:53.72 +0+17:58:51  3.607E-02  0.000E+00  6.588E+01  1.435E+01  1.956E+01 C ? F
0828+0+7: :  08:28:42.18 +0+17:59:13  2.209E-02  0.000E+00  1.540E+02  7.701E+00  5.691E+00 C ? F
0828+0+7: :  08:28:58.28 +0+17:59:36  3.369E-02  0.000E+00  1.553E+01  3.275E+00  1.261E+01 C ? F
0828+0+7: :  08:28:41.47 +0+17:58:28  2.821E-02  0.000E+00  9.911E+02  7.530E+00  7.561E+00 C ? F
0828+0+7: :  08:28:43.48 +0+17:59:01  2.282E-02  0.000E+00  3.605E+02  7.541E+00  7.733E+00 C ? F
0828+0+8: :  08:28:44.96 +0+18:01:45  2.544E-02  0.000E+00  2.676E+02  7.557E+00  7.640E+00 C ? F
0828+0+8: :  08:28:55.94 +0+18:00:57  3.263E-02  0.000E+00  1.288E+01  2.992E+00  1.058E+01 C ? F
0828+0+8: :  08:28:54.92 +0+18:01:35  5.137E-02  0.000E+00  6.618E+01  6.907E+00  1.325E+01 C ? F
0828+0+8: :  08:28:44.51 +0+18:01:02  2.328E-02  0.000E+00  1.390E+02  7.742E+00  8.772E+00 C ? F
0828+0+8: :  08:28:56.17 +0+18:01:08  3.932E-02  0.000E+00  6.145E+00  4.433E+00 -7.294E+01 N ? F
