#      nu1    flavall
#
1241.881104 0.022677 
1241.896606 0.014450 
1241.912476 0.010332 
1241.928223 0.004075 
1241.943848 0.004586 
1241.959351 0.007204 
1241.974976 0.007372 
1241.990601 0.007478 
1242.006226 0.009161 
1242.021729 0.006900 
1242.037476 0.003648 
1242.053223 0.004914 
1242.068604 0.002354 
1242.084106 0.000800 
1242.099854 0.000418 
1242.115479 -0.000611 
1242.131104 0.000285 
1242.146606 -0.000224 
1242.162476 -0.000827 
1242.177856 -0.000299 
1242.193604 -0.000511 
1242.209229 -0.000640 
1242.224976 -0.001078 
1242.240601 -0.000432 
1242.256226 -0.000595 
1242.271606 -0.000415 
1242.287109 0.000003 
1242.302979 -0.000945 
1242.318726 0.000597 
1242.334351 -0.000384 
1242.350098 -0.000733 
1242.365723 0.000129 
1242.381104 0.000202 
1242.396606 0.000445 
1242.412476 -0.000962 
1242.427979 -0.001552 
1242.443726 -0.001087 
1242.459351 -0.000118 
1242.474854 0.001205 
1242.490479 0.000806 
1242.505981 -0.000649 
1242.521606 0.000065 
1242.537231 0.000063 
1242.552979 -0.000066 
1242.568604 -0.000278 
1242.584106 -0.000262 
1242.599854 -0.000502 
1242.615479 0.000824 
1242.631104 -0.000175 
1242.646606 -0.001286 
1242.662476 -0.001703 
1242.677856 -0.001030 
1242.693604 -0.000816 
1242.709229 -0.000561 
1242.724976 -0.000755 
1242.740479 -0.005031 
1242.756104 -0.009863 
1242.771484 -0.006625 
1242.787109 -0.003744 
1242.802979 -0.001747 
1242.818726 -0.001874 
1242.834351 -0.001760 
1242.850098 -0.003288 
1242.865723 -0.004868 
1242.881104 -0.002709 
1242.896606 -0.001840 
1242.912476 -0.000348 
1242.928223 -0.000660 
1242.943848 0.000323 
1242.959351 0.000006 
1242.974854 -0.000179 
1242.990479 -0.000557 
1243.006104 0.000113 
1243.021729 0.000102 
1243.037476 -0.001113 
1243.053223 0.000669 
1243.068726 0.000006 
1243.084229 -0.000640 
1243.099976 -0.001715 
1243.115601 0.000687 
1243.131226 0.000132 
1243.146729 -0.000649 
1243.162598 0.000311 
1243.177856 -0.000467 
1243.193604 -0.001223 
1243.209229 -0.000242 
1243.224976 0.000047 
1243.240601 0.000161 
1243.256226 0.000481 
1243.271606 0.000320 
1243.287354 -0.000073 
1243.303223 -0.000824 
1243.318848 0.000263 
1243.334351 0.000515 
1243.350220 -0.000520 
1243.365845 0.000777 
1243.381226 -0.000796 
1243.396606 -0.000786 
1243.412476 0.000842 
1243.427979 0.001035 
1243.443726 -0.000305 
1243.459351 -0.000436 
1243.474854 0.001024 
1243.490479 0.000115 
1243.506104 -0.000646 
1243.521729 -0.000469 
1243.537476 -0.000560 
1243.553223 -0.001402 
1243.568726 -0.000885 
1243.584229 0.000062 
1243.599976 0.000074 
1243.615601 0.000634 
1243.631104 0.000787 
1243.646606 -0.000287 
1243.662476 -0.001037 
1243.677856 -0.000308 
1243.693604 0.001394 
1243.709229 0.000093 
1243.724976 -0.000868 
1243.740601 -0.000109 
1243.756226 -0.000476 
1243.771606 -0.000304 
1243.787354 -0.001361 
1243.803223 -0.001336 
1243.818848 -0.000679 
1243.834351 -0.000650 
1243.850220 -0.003067 
1243.865723 -0.002649 
