#spec_name qso_name z_abs peak_flux_mJy reference
SPEC_J1428.DAT      J142846.41+210336.6 0.39434  137 2017MNRAS.468.1029D
SPEC_J1551.DAT      J155121.13+071357.7 0.32891   58 2017MNRAS.468.1029D
SPEC_J0921+6215.DAT J092136.22+621552.5 1.10360 1332 2017MNRAS.465.4249D
SPEC_J1255+1817.DAT J125531.75+181750.9 0.75761  856 2017MNRAS.465.4249D
SPEC_J1327+4326.DAT J132720.97+432627.9 0.95421  647 2017MNRAS.465.4249D
SPEC_J1342+5110.DAT J134224.31+511012.4 1.48815  157 2017MNRAS.465.4249D
SPEC_J2219+0229.DAT J221930.79+022945.4 0.98075  200 2017MNRAS.465.4249D
SPEC_J0041S.DAT     J004125.98−014324.6 0.01769  215 2017MNRAS.465..588D
SPEC_J0849_2.DAT    J084957.97+510829.0 0.31207  233 2017MNRAS.465..588D
SPEC_J1241.DAT      J124157.54+633241.6 0.14295   68 2017MNRAS.465..588D
SPEC_J1243.DAT      J124355.78+404358.4 0.01714  196 2017MNRAS.465..588D
SPEC_J1438d.DAT     J143806.79+175805.4 0.14680   53 2017MNRAS.465..588D
SPEC_J1443.DAT      J144304.53+021419.3 0.37154  163 2017MNRAS.465..588D
SPEC_J1639.DAT      J163956.35+112758.7 0.07911  155 2017MNRAS.465..588D
