#      bnu      bflav
#
1395.753520 0.000667 
1395.769123 0.000623 
1395.784727 0.000399 
1395.800331 0.000446 
1395.815935 0.000208 
1395.831540 0.000323 
1395.847144 -0.000201 
1395.862750 -0.000129 
1395.878355 -0.001386 
1395.893961 -0.001589 
1395.909568 0.000301 
1395.925174 0.001544 
1395.940781 -0.001301 
1395.956389 -0.000278 
1395.971996 -0.000700 
1395.987604 -0.002727 
1396.003213 -0.001717 
1396.018822 0.000025 
1396.034431 0.002064 
1396.050040 0.000731 
1396.065650 -0.000455 
1396.081260 0.001242 
1396.096871 -0.000171 
1396.112481 -0.001919 
1396.128093 0.000709 
1396.143704 0.000974 
1396.159316 0.000338 
1396.174928 -0.000744 
1396.190541 0.000344 
1396.206154 0.000465 
1396.221767 -0.001432 
1396.237381 0.000368 
1396.252995 0.000664 
1396.268609 0.001188 
1396.284224 0.001346 
1396.299839 0.001761 
1396.315454 -0.002327 
1396.331070 -0.005306 
1396.346686 -0.012580 
1396.362303 -0.010493 
1396.377919 -0.017431 
1396.393537 -0.012937 
1396.409154 -0.004334 
1396.424772 -0.004291 
1396.440390 -0.005752 
1396.456009 -0.008503 
1396.471627 -0.032267 
1396.487247 -0.008991 
1396.502866 -0.001266 
1396.518486 -0.001902 
1396.534106 0.001399 
1396.549727 0.001771 
1396.565348 0.001114 
1396.580969 0.000767 
1396.596591 -0.000090 
1396.612213 -0.000206 
1396.627836 -0.001451 
1396.643458 0.001924 
1396.659081 0.000455 
1396.674705 -0.000270 
1396.690329 -0.000746 
1396.705953 -0.002078 
1396.721577 -0.000547 
1396.737202 0.000242 
1396.752827 -0.000321 
1396.768453 -0.002073 
1396.784079 -0.001472 
1396.799705 -0.001103 
1396.815331 -0.000401 
1396.830958 -0.000529 
1396.846586 -0.001579 
1396.862213 -0.001169 
1396.877841 -0.000891 
1396.893469 -0.000149 
1396.909098 0.000014 
1396.924727 0.000445 
1396.940356 -0.001297 
1396.955986 0.001155 
1396.971616 -0.000064 
1396.987247 -0.001118 
1397.002877 -0.000994 
1397.018509 -0.002034 
1397.034140 0.002078 
1397.049772 -0.000944 
1397.065404 -0.001927 
1397.081037 -0.000734 
1397.096669 0.001527 
1397.112303 0.000511 
1397.127936 -0.000635 
1397.143570 -0.002466 
1397.159204 0.000492 
1397.174839 -0.001029 
1397.190474 0.001191 
1397.206109 0.001627 
1397.221745 -0.000339 
1397.237381 0.001333 
1397.253017 -0.003155 
1397.268654 0.003017 
1397.284291 0.001795 
1397.299929 -0.003156 
1397.315566 0.001380 
1397.331204 -0.000004 
1397.346843 -0.002083 
1397.362482 0.000400 
1397.378121 0.001582 
1397.393760 0.001464 
1397.409400 -0.000393 
1397.425041 -0.002745 
1397.440681 -0.001265 
1397.456322 -0.000027 
1397.471963 0.001588 
1397.487605 0.000863 
1397.503247 0.000236 
1397.518889 0.000244 
1397.534532 0.000602 
1397.550175 0.001403 
1397.565818 -0.001276 
1397.581462 -0.001623 
1397.597106 -0.001088 
1397.612750 -0.000051 
1397.628395 -0.002122 
1397.644040 0.002303 
1397.659686 0.000797 
1397.675332 0.001637 
1397.690978 0.002245 
1397.706624 0.002156 
1397.722271 0.001266 
1397.737918 0.003023 
