#      nu2       flav
#
1315.315620 -0.000428 
1315.319683 0.001653 
1315.323747 -0.000929 
1315.327810 0.001238 
1315.331873 -0.000597 
1315.335937 -0.001527 
1315.340001 0.000581 
1315.344064 -0.000901 
1315.348128 -0.004759 
1315.352191 -0.002179 
1315.356255 -0.000412 
1315.360319 -0.002453 
1315.364382 0.000575 
1315.368446 0.001735 
1315.372510 -0.001056 
1315.376573 -0.000650 
1315.380637 0.003536 
1315.384701 -0.001981 
1315.388765 -0.001800 
1315.392829 0.001138 
1315.396893 -0.000567 
1315.400957 -0.003382 
1315.405021 0.000121 
1315.409085 -0.000920 
1315.413149 0.002727 
1315.417213 0.000707 
1315.421277 0.001604 
1315.425341 -0.001620 
1315.429405 0.001177 
1315.433469 0.001995 
1315.437533 -0.001879 
1315.441597 -0.002237 
1315.445661 0.000163 
1315.449726 0.000033 
1315.453790 -0.000537 
1315.457854 0.000569 
1315.461918 -0.000658 
1315.465983 -0.001224 
1315.470047 -0.001571 
1315.474111 0.001643 
1315.478176 0.001693 
1315.482240 0.002989 
1315.486305 -0.001584 
1315.490369 0.001646 
1315.494434 -0.002053 
1315.498498 0.000164 
1315.502563 -0.001449 
1315.506627 0.000110 
1315.510692 -0.002283 
1315.514756 0.002340 
1315.518821 0.000338 
1315.522886 0.001474 
1315.526950 0.001940 
1315.531015 -0.000202 
1315.535080 -0.003942 
1315.539145 0.002495 
1315.543209 -0.001423 
1315.547274 -0.001366 
1315.551339 -0.003517 
1315.555404 -0.001966 
1315.559469 0.000295 
1315.563534 -0.001219 
1315.567599 0.001728 
1315.571664 0.001673 
1315.575729 0.000279 
1315.579794 0.002239 
1315.583859 0.001651 
1315.587924 0.000593 
1315.591989 0.004441 
1315.596054 0.005666 
1315.600119 0.001360 
1315.604184 0.000222 
1315.608250 0.000449 
1315.612315 0.001028 
1315.616380 0.003088 
1315.620445 -0.000229 
1315.624511 0.004113 
1315.628576 0.003492 
1315.632641 -0.000286 
1315.636707 0.000208 
1315.640772 0.005398 
1315.644837 0.004230 
1315.648903 0.003956 
1315.652968 0.002864 
1315.657034 0.005046 
1315.661099 0.002992 
1315.665165 0.003724 
1315.669231 0.003255 
1315.673296 0.007043 
1315.677362 0.000757 
1315.681427 0.004261 
1315.685493 0.002490 
1315.689559 0.002307 
1315.693625 0.005005 
1315.697690 0.005816 
1315.701756 0.000780 
1315.705822 0.003898 
1315.709888 0.005836 
1315.713954 0.001354 
1315.718019 0.000822 
1315.722085 0.002070 
1315.726151 0.004248 
1315.730217 0.000207 
1315.734283 -0.000673 
1315.738349 0.000215 
1315.742415 -0.002235 
1315.746481 -0.000062 
1315.750547 0.000212 
1315.754613 0.001397 
1315.758680 -0.000530 
1315.762746 -0.000467 
1315.766812 0.003010 
1315.770878 -0.000540 
1315.774944 0.000854 
1315.779011 0.000824 
1315.783077 -0.000299 
1315.787143 0.000549 
1315.791209 -0.000210 
1315.795276 -0.000791 
1315.799342 -0.001162 
1315.803409 0.000889 
