Name (File Name),Absorber Redshift,Background Source Flux Density (Jy)
1430-kpec09.dat,1.3269,1.05
1830-211_cdn99.DAT,0.88582,10.5
SPEC_J0041S.DAT,0.01769,0.215
SPEC_J0849_2.DAT,0.31207,0.233
SPEC_J0921+6215.DAT,1.1036,1.332
SPEC_J1241.DAT,0.14295,0.68
SPEC_J1243.DAT,0.01714,0.196
SPEC_J1255+1817.DAT,0.75761,0.856
SPEC_J1327+4326.DAT,0.95421,0.647
SPEC_J1342+5110.DAT,1.48815,0.157
SPEC_J1428.DAT,0.39434,0.137
SPEC_J1438d.DAT,0.1468,0.053
SPEC_J1443.DAT,0.37154,0.163
SPEC_J1551.DAT,0.32891,0.058
SPEC_J1639.DAT,0.07911,0.155
SPEC_J2219+0229.DAT,0.98075,0.2
0105-008_gmrt.freq,1.3708,1.26
0201+113_gmrt.freq,3.3875,0.422
0235+164_gmrt.freq,0.5241,2.12
0237-233_gbt.freq,1.6724,6.7
0311+430_gmrt.freq,2.289,5.96
0438-436_gbt.freq,2.3474,7.3
0458-020_lowz_gbt.freq,1.5605,2.2
0458-020_highz_gbt.freq,2.0394,3
0738+313_z0.2212_wsrt.freq,0.2212,2
0738+313_z0.0912_gmrt.freq,0.0912,2
0801+303_gmrt.freq,1.1908,2.07
0827+243_gmrt.freq,0.5247,0.9
0952+179_gmrt.freq,0.2378,1.4
1127-145_gmrt.freq,0.3127,5.285
1142+052_gmrt.freq,1.3431,1.01
1157+014_gbt.freq,1.9436,0.89
1229-021_gmrt.freq,0.3949,1.65
1243_gmrt.vel,0.4367,0.48
1331+305_gbt.freq,0.6921,19
1429+400_gbt.freq,0.6039,0.21
1621+074_gmrt.freq,1.3367,0.142
1629+120_gmrt.freq,0.5318,2.35
1755+578_gmrt.freq,1.9698,0.3774
1850+402_gmrt.freq,1.9888,0.6503
2003-025_gmrt.freq,1.4106,3.7
2039+187_gbt.freq,2.192,1.92
2337-011_gmrt.freq,1.3606,0.063
2351+456_gmrt.freq,0.7795,1.99
2355-106_gmrt.freq,1.1727,0.42
