Filename	Success	Nchan	dof	chi^2	chi^2/dof	rms	A	dA	B_1	dB_1	B_2	dB_2	C	dC	XE_0	dXE_0	XP_0	dXP_0	W	dW	N	dN	X	dX	W_50	dW_50	W_20	dW_20	F_peak	dF_peak	F_int	dF_int

0003+380_ak18.DAT	2	42	37	230.292	6.2241	0.01	-0.024403	0	61.9774	0	4.17268	0	0	0	107.487	0	0.1	0	-72.9285	0	0	0	-nan	-nan	-nan	-nan	-nan	-nan	0	0	0	0
0035+22_omd+17.DAT	1	57	49	15.7781	0.322002	0.01	-0.00203163	0.160612	0.0429718	1.77394	1.9689	4.50187e+28	0.0449084	51.7158	35.8978	2.73772e+18	15.0051	59.2469	24.203	2.73772e+18	0.321767	211.474	239.875	1.62307e+14	13777.4	2.44639e+16	13777.4	2.44639e+16	0	0	-2.9077	1.01103e+12
0105-008_gmrt.freq	1	171	166	11.9733	0.0721281	0.01	0.243827	3.72863	0.139187	0.459737	0.248425	0.176722	0	0	89.449	24.589	0.1	0	-0.262651	40.6249	0	0	-26.3225	1.25021	15.332	1.82107	23.9489	2.42731	0.0593771	0.00526123	0.986714	0.0932359
0941-08_omd+17.DAT	0	63	58	39.5013	0.681057	0.01	0.0215955	3.99191e+13	4.69998	1.68187e+15	3.59344	6.11417e+14	0	0	43.3803	6.33683e+13	0.1	0	0.405195	3.27512e+14	0	0	60.4966	4.55622e+15	54.2508	4.28651e+16	74.3462	2.6169e+16	0.0210044	3.61496e+13	1.1481	1.19495e+15
101301.DAT	0	154	146	19.9472	0.136625	0.01	0.0026177	0.00582153	3.80132	217846	2.12534	7016.86	0.356315	8.72291e+08	147.223	4705.28	153.086	1.26997e+08	3.06405	4434.53	14.9932	8.05085e+09	-237.73	2.56207e+09	7.3499	1.70956e+09	13.1391	3.57892e+09	1.00256e+11	1.4799e+21	8.76377e+11	1.27297e+22
1045+35A_adi.DAT	2	157	152	255.427	1.68044	0.01	-0.00687154	0	8.48863e+13	0	4.89051	0	0	0	6053.07	0	0.1	0	-5954.8	0	0	0	-nan	-nan	-nan	-nan	-nan	-nan	0	0	0	0
1142+052_gmrt.freq	0	87	79	1.09247	0.0138287	0.01	0.00340346	0.00783507	0.362294	1.33799	0.284605	0.852762	0.0739191	1.49329	52.7544	4.61589	49.0212	11.1124	13.725	5.63523	0.997937	6.76198	-15.6459	17.0164	107.432	31.9828	122.156	39.2228	0.00641664	0.00439068	0.561522	0.234657
1142+052_kpec09.DAT	0	333	325	35.0339	0.107797	0.01	0.00114186	0.0217607	0.554068	7.44751	1.26728	24.9303	0.325428	25.8887	35.857	12.7919	38.1701	21.1171	4.43209	13.0175	0.783729	35.4041	134.375	13.0457	14.699	25.9864	17.3246	30.6742	0.00226001	0.00691826	0.0283962	0.0611074
1200+045_ak17.DAT	0	72	67	6.9574	0.103842	0.01	0.0019156	0.0418861	4.0656	596715	0.371435	10.0327	0	0	65.0061	15879.4	0.1	0	1.78934	15934.2	0	0	-1378.26	326709	67.0012	587587	97.7642	141990	0.00180414	1.73699	0.124105	1057.21
1245-197_ak17.DAT	1	69	64	19.3902	0.302972	0.01	-0.00326696	0.00120386	13.3909	0	11.7115	0	0	0	33.0724	0	0.1	0	57.2809	0	0	0	55.726	1.37106e-07	-inf	-nan	-inf	-nan	0	0	-4.53996	1.67295
1504+377_cmr+98.DAT	0	122	117	6785.7	57.9974	0.01	0.0372803	0.0565015	1.56185	17.4043	7.52746	6.05432e+17	0	0	103.101	1.85305e+15	0.1	0	1.85333	1.85305e+15	0	0	439.903	2.53292e+15	50.2261	2.96945e+15	57.3116	9.85566e+14	0.0372803	24.3519	1.87891	2.09709e+14
J01465-0157_adi19.DAT	1	120	115	51.4274	0.447195	0.01	59894	2.97259e+08	7.49761	1.38507e+17	0.0948674	14.8103	0	0	91.003	7.08748e+14	0.1	0	-19.0737	7.08748e+14	0	0	1186.57	4.56101e+16	55.6867	4.69292e+17	116.26	4.81969e+17	0.00766183	5.64412e+13	0.567717	4.91433e+14
J075756.71+395936.1.txt	0	185	180	28.8562	0.160312	0.01	0.0667608	0.201647	0.338797	0.250593	0.122365	0.184671	0	0	91.0093	8.54175	0.1	0	2.08222	11.7983	0	0	-0.761192	18.584	150.632	35.3607	240.913	40.3649	0.0362193	0.00552618	5.9553	0.871021
J080601.51+190614.7.txt	2	185	180	39.0765	0.217092	0.01	1.15155e+09	1.35727e+12	0.193207	0.0714728	0.0173482	0.423157	0	0	-35.1361	6836.84	0.1	0	-131.494	6844.98	0	0	133.327	1058.54	220.748	773.523	366.912	3136.69	0.0328462	0.255049	8.31004	42.2041
J080938.88+345537.2.txt	0	179	174	10.2978	0.0591826	0.01	0.00853518	0.010629	0.668018	2.59508	1.34115	9.87538	0	0	80.7204	1.46754	0.1	0	2.14707	2.31449	0	0	-213.66	27.9814	76.7755	74.5324	100.658	78.6882	0.00847998	0.00874828	0.653268	0.490299
J082133.60+470237.3.txt	0	220	215	3.56044	0.0165602	0.01	0.009766	0.109632	4.83536	6.62133e+09	4.54053	5.48298e+09	0	0	129.971	2.67722e+07	0.1	0	1.0003	2.67722e+07	0	0	-207.428	6.50087e+08	37.1722	7.23658e+08	42.5946	2.90711e+09	0.009766	0.0100002	0.362904	9.70662e+06
J083548.14+151717.0.txt	0	220	212	3332.46	15.7192	0.01	0.157425	0.827324	0.33067	0.41895	1.05767	1.44561	0.000132279	0.00195987	115.169	4.12655	112.987	0.897252	0.404861	6.79721	8.95218	12.7906	-276.114	6.82926	58.8727	11.6681	209.356	14.3233	0.117265	0.016255	9.14528	0.736189
J083637.84+440109.6.txt	1	185	177	23.3997	0.132202	0.01	0.043149	3.25827	0.416574	1.6414	0.318084	1.92392	0.0322321	0.306148	90.9557	22.0936	90.9917	3.46662	-0.849538	72.8562	4.82329	9.63658	37.5968	38.0642	62.4982	51.1776	181.383	2770.24	0.0157269	0.00806307	1.42064	0.671717
J084307.11+453742.8.txt	2	185	180	54.0809	0.300449	0.01	7.73461e+09	2.65779e+12	0.0732993	0.52105	0.592618	0.0461425	0	0	125.576	471.398	0.1	0	-30.9251	472.452	0	0	52.382	80.7937	70.7125	6.97328	113.563	30.5479	0.278415	0.0486005	21.9733	9.01605
