,Filename,A,B_1,B_2,C,XE_0,XP_0,W,N,X,W_50,W_20,F_peak,F_int
0,0035+22_omd+17.DAT,-0.00203163,0.0429718,1.9689,0.0449084,35.8978,15.0051,24.203,0.321767,239.875,13777.4,13777.4,0.0,-2.9077
1,0105-008_gmrt.freq,0.243827,0.139187,0.248425,0.0,89.449,0.1,-0.262651,0.0,-26.3225,15.332,23.9489,0.0593771,0.986714
2,0941-08_omd+17.DAT,0.0215955,4.69998,3.59344,0.0,43.3803,0.1,0.405195,0.0,60.4966,54.2508,74.3462,0.0210044,1.1481
3,101301.DAT,0.0026177,3.80132,2.12534,0.356315,147.223,153.086,3.06405,14.9932,-237.73,7.3499,13.1391,100256000000.0,876377000000.0
4,1142+052_gmrt.freq,0.00340346,0.362294,0.284605,0.0739191,52.7544,49.0212,13.725,0.997937,-15.6459,107.432,122.156,0.00641664,0.561522
5,1142+052_kpec09.DAT,0.00114186,0.554068,1.26728,0.325428,35.857,38.1701,4.43209,0.783729,134.375,14.699,17.3246,0.00226001,0.0283962
6,1200+045_ak17.DAT,0.0019156,4.0656,0.371435,0.0,65.0061,0.1,1.78934,0.0,-1378.26,67.0012,97.7642,0.00180414,0.124105
7,1504+377_cmr+98.DAT,0.0372803,1.56185,7.52746,0.0,103.101,0.1,1.85333,0.0,439.903,50.2261,57.3116,0.0372803,1.87891
8,J01465-0157_adi19.DAT,59894.0,7.49761,0.0948674,0.0,91.003,0.1,-19.0737,0.0,1186.57,55.6867,116.26,0.00766183,0.567717
9,J075756.71+395936.1.txt,0.0667608,0.338797,0.122365,0.0,91.0093,0.1,2.08222,0.0,-0.761192,150.632,240.913,0.0362193,5.9553
10,J080601.51+190614.7.txt,1151550000.0,0.193207,0.0173482,0.0,-35.1361,0.1,-131.494,0.0,133.327,220.748,366.912,0.0328462,8.31004
11,J080938.88+345537.2.txt,0.00853518,0.668018,1.34115,0.0,80.7204,0.1,2.14707,0.0,-213.66,76.7755,100.658,0.00847998,0.653268
12,J082133.60+470237.3.txt,0.009766,4.83536,4.54053,0.0,129.971,0.1,1.0003,0.0,-207.428,37.1722,42.5946,0.009766,0.362904
13,J083548.14+151717.0.txt,0.157425,0.33067,1.05767,0.000132279,115.169,112.987,0.404861,8.95218,-276.114,58.8727,209.356,0.117265,9.14528
14,J083637.84+440109.6.txt,0.043149,0.416574,0.318084,0.0322321,90.9557,90.9917,-0.849538,4.82329,37.5968,62.4982,181.383,0.0157269,1.42064
15,J084307.11+453742.8.txt,7734610000.0,0.0732993,0.592618,0.0,125.576,0.1,-30.9251,0.0,52.382,70.7125,113.563,0.278415,21.9733
16,J090325.54+162256.0.txt,0.0165131,0.706765,0.452182,2.49055,128.719,129.229,1.93778,1.67556,17.2089,118.199,160.788,0.101144,8.4637
17,J090734.91+325722.9.txt,0.0227895,2.61961,0.427338,10.1098,127.834,126.232,2.61616,0.477329,16.4249,102.47,128.709,0.322979,28.7719
18,J090937.44+192808.2.txt,0.0745354,0.249055,0.873339,0.181832,95.7289,96.2306,1.7529,2.37169,-30.5679,106.122,185.032,0.119096,14.365
19,J093551.59+612111.3.txt,0.0740369,0.0466234,0.101511,0.0,90.4133,0.1,12.2988,0.0,-74.1974,527.342,806.61,0.0569721,31.8561
20,J102053.67+483124.3.txt,0.0188522,0.89002,0.866945,0.063653,90.0323,85.9824,3.9252,1.35506,-53.9587,126.271,156.028,0.0328052,3.76299
21,J102400.53+511248.1.txt,569.267,0.0310979,0.737392,0.0,157.408,0.1,-40.3779,0.0,-321.02,124.044,239.057,0.0798471,12.4676
