,params,rank_test_roc_auc,rank_test_accuracy,rank_test_average_precision
0,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 1}",10081,9234,9955
1,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 2}",10165,9985,9927
2,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 3}",8919,9379,8846
3,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 4}",7489,8509,7546
4,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 5}",6986,7883,7059
5,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 6}",7307,8053,6928
6,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 7}",6683,8373,6611
7,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 8}",6535,8301,6467
8,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 9}",5829,8147,6028
9,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 1}",10081,9234,9955
10,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 2}",10165,9985,9927
11,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 3}",8919,9379,8846
12,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 4}",7489,8509,7546
13,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 5}",6986,7883,7059
14,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 6}",7307,8053,6928
15,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 7}",6683,8373,6611
16,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 8}",6535,8301,6467
17,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 9}",5829,8147,6028
18,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 1}",10081,9234,9955
19,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 2}",10165,9985,9927
