Filename	Success	Nchan	dof	chi^2	chi^2/dof	rms	A	dA	B_1	dB_1	B_2	dB_2	C	dC	XE_0	dXE_0	XP_0	dXP_0	W	dW	N	dN	X	dX	W_50	dW_50	W_20	dW_20	F_peak	dF_peak	F_int	dF_int

0201+113_gmrt.freq	0	86	81	40.1162	0.495262	0.01	0.0482388	0.0376462	1.61286	1.95728	0.533665	0.597188	0	0	33.1081	0.687197	0.1	0	1.32898	1.05316	0	0	-2.8371	3.16053	20.9384	7.75615	31.0398	9.15735	0.0428916	0.0121224	0.932683	0.199354
0235+164_gmrt.freq	2	123	118	0.000258207	2.18819e-06	0.01	7.24161e+06	1.36274e+12	0.362251	41.6995	0.0157882	61.4188	0	0	-77.1956	1.19931e+06	0.1	0	-146.082	1.1997e+06	0	0	-46.7781	3005.4	22.4245	8665.67	40.9686	98437	0.000156375	0.161785	0.00429033	1.89103
0237-233_gbt.freq	1	97	92	33.1822	0.360676	0.01	232.535	197930	7.73354	4.01903e+16	0.257178	11.8664	0	0	35.3667	1.78802e+14	0.1	0	-4.70208	1.78802e+14	0	0	-4.35092	3.72032e+14	1.46113	2.60737e+15	3.01623	2.64996e+15	0.0563409	9.88083e+13	0.106409	3.84504e+13
0311+430_gmrt.freq	1	510	505	6.70856	0.0132843	0.01	0.128997	6.09284	0.13103	0.162712	0.0288982	0.232628	0	0	211.759	429.832	0.1	0	-13.4457	453.62	0	0	62.1303	22.8621	56.5135	28.4538	94.5364	38.1762	0.0102793	0.00347111	0.660517	0.238251
0438-436_gbt.freq	1	54	49	0.361933	0.00738638	0.01	0.320591	105.437	0.895054	4.79133	0.103037	3.95566	0	0	20.3699	726.446	0.1	0	-6.62416	734.501	0	0	21.208	73.8436	30.9212	75.2741	54.9156	103.479	0.00550234	0.00851276	0.201583	0.334328
0458-020_highz_gbt.freq	0	113	105	10.8867	0.103682	0.01	0.0631255	0.0140277	0.246527	0.0540843	0.266404	0.0551561	0.16332	0.22752	58.9439	0.570395	61.2721	0.547216	7.69484	1.00291	1.03244	0.701747	-2.42253	0.397337	27.0166	0.948423	34.5611	0.996581	0.119744	0.00523284	2.8245	0.0857289
0458-020_lowz_gbt.freq	0	260	252	28.7465	0.114074	0.01	0.0286469	1.62637	0.400807	2.2652	0.317815	2.7392	0.0213811	0.324477	114.504	19.1243	116.365	7.45109	0.243316	77.1992	4.05262	8.12534	0.718447	2.39529	5.25767	3.52385	9.92608	4.63294	0.0241166	0.0081744	0.156679	0.0540863
0738+313_z0.0912_gmrt.freq	1	126	121	4.43595	0.0366608	0.01	0.471208	15.1639	0.158163	0.716616	0.1812	0.502283	0	0	66.0554	14.7736	0.1	0	-0.00364887	85.0529	0	0	9.32072	0.148134	3.95284	0.227516	6.08711	0.317535	0.118138	0.00543753	0.501294	0.0204806
0738+313_z0.2212_wsrt.freq	0	800	795	31.2351	0.0392895	0.01	0.122354	0.112301	0.0853092	0.0446414	0.159573	0.0511272	0	0	499.6	3.03361	0.1	0	5.06133	6.21303	0	0	11.6912	0.181647	4.97299	0.380851	7.71416	0.426736	0.0779259	0.00405633	0.415724	0.0204803
0801+303_gmrt.freq	0	81	76	0.909746	0.0119703	0.01	0.0040166	0.00611786	4.65429	2.54957e+08	0.0766975	0.26202	0	0	36.3322	2.59319e+06	0.1	0	10.2375	2.5932e+06	0	0	31.156	1.08356e+07	74.6134	1.5562e+06	102.91	1.20098e+07	0.00395399	1352.23	0.297696	74188
0827+243_gmrt.freq	0	83	75	1.15214	0.0153618	0.01	0.00619194	9.94892	0.205319	31.041	0.339643	9.09378	0.0340067	91.8698	51.8984	1910.56	42.0085	2636.05	2.66968	1469.39	1.01154	2538.76	10.9705	38.6743	35.987	55.5822	55.3995	64.1472	0.00590232	0.00623799	0.226888	0.231373
0952+179_gmrt.freq	0	144	139	2.39082	0.0172001	0.01	0.0102747	0.00457685	0.217749	0.367519	0.250148	0.44435	0	0	71.5322	2.26467	0.1	0	8.48368	3.29023	0	0	2.82836	1.29288	8.67779	3.17477	11.2783	3.7022	0.0102213	0.00404734	0.0889546	0.0277763
1127-145_gmrt.freq	0	124	119	89.4863	0.751986	0.01	0.0964366	0.0109092	0.0810922	0.0150752	0.333855	0.0783074	0	0	62.8958	0.732502	0.1	0	8.94691	1.00336	0	0	4.99458	1.03078	40.9587	2.40299	59.8432	2.47153	0.0889555	0.00424572	3.75559	0.140301
1157+014_gbt.freq	0	59	54	41.4559	0.767701	0.01	0.0464422	0.0144968	5.2913	1.24018e+11	0.366545	0.245822	0	0	32.1665	3.16821e+08	0.1	0	2.1935	3.16821e+08	0	0	6.01188	1.77481e+09	16.8583	3.34012e+09	23.4043	8.53925e+09	0.0454793	7.72061e+06	0.774049	1.10969e+08
